institution,state,pslf_class,pslf_evidence
OBH Kingsbrook Jewish Med Ctr,NY,pslf_friendly,Med Ctr
Our Lady Of Lourdes,NY,ambiguous,
Richmond Univ Med Ctr,NY,pslf_friendly,Univ
Rochester Gen Hosp,NY,ambiguous,
Rochester Regional Health/Unity Hosp,NY,ambiguous,
SUNY HSC Brooklyn,NY,ambiguous,
Samaritan Med Ctr,NY,pslf_friendly,Med Ctr
South Brooklyn Health.,NY,ambiguous,
St Barnabas Hosp,NY,ambiguous,
St Elizabeth Med Ctr,NY,pslf_friendly,Med Ctr
St Johns Riverside Hospital,NY,ambiguous,
St Josephs Health,NY,ambiguous,
Stony Brook Teach Hosps,NY,ambiguous,
Syracuse Community Health,NY,ambiguous,
U Rochester/Strong Memorial,NY,pslf_friendly,Memorial
UHS-Wilson Med Ctr,NY,pslf_friendly,Med Ctr
UVM Health Network CVPH,NY,ambiguous,
University at Buffalo SOM,NY,pslf_friendly,University
Westchester Medical Ctr,NY,pslf_friendly,Medical Ctr
Woodhull Med Ctr,NY,pslf_friendly,Med Ctr
Wyckoff Heights Med Ctr,NY,pslf_friendly,Med Ctr
Zucker SOM Northern Westchester Med Ctr,NY,pslf_friendly,SOM
Zucker SOM-Northwell Cohen Childrens,NY,pslf_friendly,SOM
Zucker SOM-Northwell Forest Hills Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell Glen Cove Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell Huntington Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell Lenox Hill Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell Mather Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell NS/LIJ,NY,pslf_friendly,SOM
Zucker SOM-Northwell Peconic Bay,NY,pslf_friendly,SOM
Zucker SOM-Northwell Phelps Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell Plainview Hosp,NY,pslf_friendly,SOM
Zucker SOM-Northwell South Shore,NY,pslf_friendly,SOM
Zucker SOM-Northwell Staten Island Univ,NY,pslf_friendly,SOM
Zucker SOM-Northwell Zucker Hillside,NY,pslf_friendly,SOM
Atrium Health Cabarrus,NC,ambiguous,
Campbell University,NC,pslf_friendly,University
Cape Fear Valley Health,NC,ambiguous,
Carolinas Med Ctr,NC,pslf_friendly,Med Ctr
Cone Health,NC,ambiguous,
Duke Univ Med Ctr,NC,pslf_friendly,Univ
ECU Health Med Ctr,NC,pslf_friendly,Med Ctr
Iredell Health System,NC,pslf_friendly,Health System
Mountain AHEC,NC,ambiguous,
New Hanover Reg Med Ctr,NC,pslf_friendly,Med Ctr
Novant Health,NC,ambiguous,
Southern Regional AHEC,NC,ambiguous,
UNC Health Blue Ridge,NC,ambiguous,
Wake Forest Baptist Med Ctr,NC,pslf_friendly,Med Ctr
WakeMed Health and Hospitals,NC,pslf_friendly,Hospitals
Womack Army Med Ctr,NC,pslf_friendly,Army
Altru Health System,ND,pslf_friendly,Health System
Adena Health System,OH,pslf_friendly,Health System
Akron Children's,OH,pslf_friendly,Children
Akron General Med Ctr,OH,pslf_friendly,Med Ctr
Aultman Hospital/NEOMED,OH,ambiguous,
Bethesda Hospital,OH,pslf_friendly,Bethesda
Canton Med Ed Fdn/NEOMED,OH,ambiguous,
Case Western/Univ Hosps Cleveland Med Ctr,OH,pslf_friendly,Univ
Christ Hospital,OH,ambiguous,
Cincinnati Childrens Hosp Med Ctr,OH,pslf_friendly,Children
Cleveland Clinic Fdn,OH,pslf_friendly,Cleveland Clinic
East Liverpool City Hosp,OH,ambiguous,
Fairfield Med Ctr,OH,pslf_friendly,Med Ctr
Firelands Regional Med Ctr,OH,pslf_friendly,Med Ctr
Good Samaritan Hosp-Cinn,OH,ambiguous,
Jewish Hospital,OH,ambiguous,
Kettering Health Network,OH,ambiguous,
Memorial Health System,OH,pslf_friendly,Health System
Mercy Health-Anderson Hosp,OH,ambiguous,
Mercy Health-St Ritas Med Ctr,OH,pslf_friendly,Med Ctr
Mercy St Vincent Med Ctr,OH,pslf_friendly,Med Ctr
Mount Carmel Health System,OH,pslf_friendly,Health System
Nationwide Childrens Hosp,OH,pslf_friendly,Children
St Elizabeth Health Ctr-Boardman,OH,ambiguous,
St Elizabeth Youngstown Hosp,OH,ambiguous,
St Lukes Hospital,OH,ambiguous,
St Vincent Charity Med Ctr,OH,pslf_friendly,Med Ctr
Summa Health/NEOMED,OH,ambiguous,
The MetroHealth Sys/Case Western,OH,ambiguous,
Trinity Health System,OH,pslf_friendly,Health System
U Cincinnati Med Ctr,OH,pslf_friendly,Med Ctr
U Cincinnati West Chester Hosp,OH,ambiguous,
Univ Hosps Community Consortium,OH,pslf_friendly,Univ
University of Toledo,OH,pslf_friendly,University
Western Reserve Health Ed/NEOMED,OH,ambiguous,
Western Reserve Hosp,OH,ambiguous,
Wright State Univ Boonshoft SOM,OH,pslf_friendly,Univ
Griffin Memorial Hospital,OK,pslf_friendly,Memorial
In His Image Family Med,OK,ambiguous,
Integris Health,OK,ambiguous,
OMECO,OK,ambiguous,
St Anthony Hospital,OK,ambiguous,
Legacy Emanuel/Good Samaritan,OR,ambiguous,
Providence Health,OR,ambiguous,
Roseburg Family Medicine,OR,ambiguous,
Samaritan Health Services-Corvallis,OR,pslf_friendly,Health Service
Abington Mem Hosp,PA,ambiguous,
Albert Einstein Healthcare Network,PA,pslf_friendly,Healthcare
Albert Einstein Med Ctr,PA,pslf_friendly,Med Ctr
Allegheny Gen Hosp,PA,ambiguous,
Allegheny Health Network St Vincent HC,PA,ambiguous,
Bryn Mawr Hospital,PA,ambiguous,
Butler Memorial Hospital,PA,pslf_friendly,Memorial
Childrens Hosp-Philadelphia,PA,pslf_friendly,Children
Clarion Hospital,PA,ambiguous,
Conemaugh Memorial Med Ctr,PA,pslf_friendly,Med Ctr
Cornerstone Care THC,PA,ambiguous,
Crozer-Chester Med Ctr,PA,pslf_friendly,Med Ctr
Delaware Valley Community Health,PA,ambiguous,
Doylestown Hospital,PA,ambiguous,
Excela Health Latrobe Hosp,PA,ambiguous,
Forbes Family Medicine,PA,ambiguous,
Geisinger Health System,PA,pslf_friendly,Health System
Guthrie/Robert Packer Hosp,PA,ambiguous,
Heritage Valley Beaver,PA,ambiguous,
JHME-Jefferson Einstein Montgomery,PA,ambiguous,
JHME-Jefferson Einstein Philadelphia,PA,ambiguous,
Jefferson Health-Northeast,PA,ambiguous,
LECOM Health,PA,ambiguous,
Lancaster Gen Hosp,PA,ambiguous,
Lankenau Med Ctr,PA,pslf_friendly,Med Ctr
Lehigh Valley Hosp,PA,ambiguous,
Lower Bucks Hosp,PA,ambiguous,
Meadville Med Ctr,PA,pslf_friendly,Med Ctr
Mercy Catholic Med Ctr,PA,pslf_friendly,Med Ctr
Nazareth Hospital,PA,ambiguous,
Penn Highlands Healthcare,PA,pslf_friendly,Penn
Penn State Hershey Med Ctr,PA,pslf_friendly,Penn
Philadelphia Coll of Osteo Med,PA,ambiguous,
St Clair Health,PA,ambiguous,
St Lukes Hosp-Anderson,PA,ambiguous,
St Lukes Hosp-Bethlehem,PA,ambiguous,
St Mary Med Ctr-Langhorne,PA,pslf_friendly,Med Ctr
Suburban Community Hosp,PA,ambiguous,
TJU/Nemours Childrens Health,PA,pslf_friendly,Children
Temple Univ Hosp,PA,pslf_friendly,Univ
Temple Univ/Chestnut Hill Hosp,PA,ambiguous,
Temple Univ/Fox Chase Cancer Ctr,PA,ambiguous,
Thomas Jefferson Univ,PA,ambiguous,
Tower Health/Brandywine Hosp,PA,ambiguous,
Tower Health/Chestnut Hill Hosp,PA,ambiguous,
Tower Health/Drexel Univ COM,PA,pslf_friendly,Univ
Tower Health/Phoenixville Hosp,PA,ambiguous,
Tower Health/Reading Hospital,PA,ambiguous,
Tower Health/St Christophers Hosp,PA,ambiguous,
UPMC Altoona Hospital,PA,ambiguous,
UPMC Hamot Med Ctr,PA,pslf_friendly,Med Ctr
UPMC Harrisburg,PA,ambiguous,
UPMC Lititz,PA,ambiguous,
UPMC McKeesport,PA,ambiguous,
UPMC Medical Education,PA,ambiguous,
UPMC Mercy Hospital,PA,ambiguous,
UPMC Presbyterian Shadyside,PA,ambiguous,
UPMC St Margaret,PA,ambiguous,
UPMC Washington Hospital,PA,ambiguous,
UPMC Williamsport,PA,ambiguous,
Wellspan Health Chambersburg Hosp,PA,ambiguous,
Wellspan Health Good Sam Hosp,PA,ambiguous,
Wellspan Health York Hosp,PA,ambiguous,
Wright Center for GME,PA,ambiguous,
Centro Medico Menonita Cayey,PR,ambiguous,
Damas Hospital,PR,ambiguous,
Hosp Episcopal San Lucas,PR,ambiguous,
Hospital de la Concepcion,PR,ambiguous,
Ponce Health Sciences Univ SOM,PR,pslf_friendly,Univ
San Juan VA Med Ctr,PR,pslf_friendly,VA
Univ Central del Caribe SOM,PR,pslf_friendly,Univ
Brown Univ/Butler Hospital,RI,ambiguous,
Kent Hospital,RI,ambiguous,
NYMC-Landmark Med Ctr,RI,pslf_friendly,Med Ctr
Roger Williams Med Ctr,RI,pslf_friendly,Med Ctr
Aiken Regional Med Ctrs,SC,pslf_friendly,Med Ctr
AnMed Health,SC,ambiguous,
Grand Strand Reg Med Ctr,SC,pslf_friendly,Med Ctr
Lexington Med Ctr,SC,pslf_friendly,Med Ctr
McLeod Reg Med Ctr,SC,pslf_friendly,Med Ctr
Self Regional Healthcare,SC,pslf_friendly,Healthcare
Spartanburg Medical Center,SC,pslf_friendly,Medical Center
Summerville Med Ctr,SC,pslf_friendly,Med Ctr
Tidelands Health,SC,ambiguous,
Tri-County Commission ADA,SC,pslf_friendly,County
Trident Medical Center,SC,pslf_friendly,Medical Center
Center for Family Medicine,SD,ambiguous,
Rapid City Hospital,SD,ambiguous,
Baptist Mem Med Education,TN,ambiguous,
HCA Healthcare/TriStar Nashville,TN,pslf_hostile,HCA
HCA Healthcare/TriStar Southern Hills,TN,pslf_hostile,HCA
Health Education Services,TN,ambiguous,
Meharry Medical College,TN,ambiguous,
Methodist Healthcare Memphis Hosps,TN,pslf_friendly,Healthcare
Methodist Med Ctr of Oak Ridge,TN,pslf_friendly,Med Ctr
UT Ascension St Thomas,TN,ambiguous,
Vanderbilt Univ Med Ctr,TN,pslf_friendly,Univ
Baylor Coll Med-Houston,TX,pslf_friendly,Baylor
Baylor S&W All Saints Med Ctr,TX,pslf_friendly,Baylor
Baylor S&W Med Ctr-Round Rock,TX,pslf_friendly,Baylor
Baylor S&W-Baylor COM Temple,TX,pslf_friendly,Baylor
Baylor Scott & White Med Ctr,TX,pslf_friendly,Baylor
Baylor Univ Med Ctr-Dallas,TX,pslf_friendly,Univ
CHRISTUS Health,TX,ambiguous,
Conroe Reg Med Ctr,TX,pslf_friendly,Med Ctr
DeTar Healthcare System,TX,pslf_friendly,Healthcare
Doctors Hospital at Renaissance,TX,ambiguous,
Driscoll Childrens Hosp,TX,pslf_friendly,Children
HCA Corpus Christi Med Ctr,TX,pslf_hostile,HCA
HCA Houston Healthcare/U Houston,TX,pslf_hostile,HCA
HCA Las Palmas del Sol Healthcare,TX,pslf_hostile,HCA
HCA Medical City Healthcare,TX,pslf_hostile,HCA
John Peter Smith Hosp,TX,ambiguous,
Lake Granbury Med Ctr,TX,pslf_friendly,Med Ctr
Memorial Hermann Hosp,TX,pslf_friendly,Memorial
Methodist Health System Dallas,TX,pslf_friendly,Health System
Methodist Healthcare Sys-San Antonio,TX,pslf_friendly,Healthcare
Methodist Hospital-Houston,TX,ambiguous,
Presbyterian Hosp-Dallas,TX,ambiguous,
Prime South Consortium,TX,ambiguous,
Project Vida Health Ctr,TX,ambiguous,
Sam Houston State Univ COM,TX,pslf_friendly,Univ
Shannon Medical Center,TX,pslf_friendly,Medical Center
St Davids Healthcare GME,TX,pslf_friendly,Healthcare
TIGMER,TX,ambiguous,
Texoma Med Ctr,TX,pslf_friendly,Med Ctr
Valley Baptist Med Ctr,TX,pslf_friendly,Med Ctr
Waco Family Medicine Institute,TX,pslf_friendly,Institute
William Beaumont Army Med Ctr,TX,pslf_friendly,Army
Intermountain Med Ctr,UT,pslf_friendly,Med Ctr
McKay-Dee Hospital Ctr,UT,ambiguous,
Augusta Health,VA,ambiguous,
Bon Secours Health System,VA,pslf_friendly,Health System
EVMS Old Dominion University,VA,pslf_friendly,University
HCA Chippenham & Johnston-Willis Hosps,VA,pslf_hostile,HCA
HCA Healthcare LGH-Montgomery/VCOM,VA,pslf_hostile,HCA
Inova Fairfax Hospital,VA,pslf_friendly,VA
Johnston Memorial Hosp,VA,pslf_friendly,Memorial
LewisGale Med Ctr,VA,pslf_friendly,Med Ctr
Liberty Univ COM,VA,pslf_friendly,Univ
Lynchburg Fam Med Res,VA,ambiguous,
Mary Washington Healthcare,VA,pslf_friendly,Healthcare
Norton Community Hosp,VA,ambiguous,
Riverside Reg Med Ctr,VA,pslf_friendly,Med Ctr
Sovah Health-Danville,VA,ambiguous,
VCU-Shenandoah Valley,VA,ambiguous,
Wellmont Health System,VA,pslf_friendly,Health System
Community Health Care,WA,ambiguous,
Elson S Floyd COM WSU,WA,ambiguous,
Harrison Med Ctr,WA,pslf_friendly,Med Ctr
HealthPoint,WA,ambiguous,
Kadlec Regional Med Ctr,WA,pslf_friendly,Med Ctr
Legacy Salmon Creek Med Ctr,WA,pslf_friendly,Med Ctr
MultiCare Health System,WA,pslf_friendly,Health System
PeaceHealth Southwest Med Ctr,WA,pslf_friendly,Med Ctr
Providence Sacred Heart Med Ctr,WA,pslf_friendly,Med Ctr
Providence St Peter Hospital,WA,ambiguous,
Puyallup Tribal Health Authority,WA,ambiguous,
Sea Mar Community Health Ctrs,WA,ambiguous,
Skagit Regional Health,WA,ambiguous,
Spokane Teaching Health Ctr,WA,ambiguous,
St Josephs Hospital,WA,ambiguous,
Swedish Med Ctr,WA,pslf_friendly,Med Ctr
Tacoma Family Med,WA,ambiguous,
Trios Health,WA,ambiguous,
Valley Med Ctr,WA,pslf_friendly,Med Ctr
Virginia Mason Franciscan Health,WA,ambiguous,
Yakima Valley Farm Workers Clinic,WA,ambiguous,
AccessHealth,WV,ambiguous,
Charleston Area Med Ctr,WV,pslf_friendly,Med Ctr
Greenbrier Valley Med Ctr,WV,pslf_friendly,Med Ctr
Marshall Community Health,WV,ambiguous,
Marshall University SOM,WV,pslf_friendly,University
Mountain State OPTI,WV,ambiguous,
United Hospital Ctr,WV,ambiguous,
Wheeling Hospital,WV,ambiguous,
Aurora Health Care/ASMC,WI,ambiguous,
Aurora St Lukes Medical Ctr,WI,pslf_friendly,Medical Ctr
Gundersen Lutheran Med Fdn,WI,ambiguous,
Marshfield Clinic,WI,ambiguous,
Mercy Health System,WI,pslf_friendly,Health System
ProHealth Waukesha Mem Hosp,WI,ambiguous,
Still OPTI-MCW/Prevea FMRP,WI,ambiguous,
WiNC GME Consortium,WI,ambiguous,
