institution,state,pslf_class,pslf_evidence
UC San Francisco-Fresno,CA,ambiguous,
UCLA Med Ctr,CA,pslf_friendly,UCLA
UCLA Semel Inst for Neuroscience,CA,pslf_friendly,UCLA
VA Greater LA Hlth Sys,CA,pslf_friendly,VA
Valley Childrens Healthcare,CA,pslf_friendly,Children
Valley Consortium,CA,ambiguous,
Valley Health Team,CA,ambiguous,
Ventura County Med Ctr,CA,pslf_friendly,County
Common Spirit Health Mountain Region,CO,ambiguous,
Denver Community Hlth Svcs,CO,ambiguous,
Denver Health Med Ctr,CO,pslf_friendly,Med Ctr
HealthONE,CO,ambiguous,
Parkview Med Ctr,CO,pslf_friendly,Med Ctr
Penrose Hospital,CO,ambiguous,
Poudre Valley Hospital,CO,ambiguous,
St Anthony Hospital North,CO,ambiguous,
St Joseph Hospital SCL Health,CO,ambiguous,
St Mary-Corwin Med Ctr,CO,pslf_friendly,Med Ctr
St Marys Med Ctr SCL Health,CO,pslf_friendly,Med Ctr
Still OPTI-Peak Vista FMRP,CO,ambiguous,
Bridgeport Hospital,CT,ambiguous,
Danbury Hospital,CT,ambiguous,
Greenwich Hospital,CT,ambiguous,
Griffin Hospital,CT,ambiguous,
Hartford Hospital,CT,ambiguous,
Middlesex Hospital,CT,ambiguous,
Norwalk Hospital,CT,ambiguous,
Quinnipiac Univ/Netter MD SOM,CT,pslf_friendly,SOM
St Francis Hospital,CT,ambiguous,
St Marys Hospital,CT,ambiguous,
St Vincents Med Ctr,CT,pslf_friendly,Med Ctr
Stamford Hospital/Columbia,CT,pslf_friendly,Columbia
Waterbury Hospital,CT,ambiguous,
Yale-New Haven Hosp,CT,pslf_friendly,Yale
Bayhealth Med Ctr,DE,pslf_friendly,Med Ctr
Beebe Healthcare,DE,pslf_friendly,Healthcare
Christiana Care,DE,ambiguous,
St Francis Hospital,DE,ambiguous,
Childrens National Med Ctr,DC,pslf_friendly,Children
George Washington Univ,DC,ambiguous,
Howard Univ Hosp,DC,pslf_friendly,Univ
MedStar Georgetown Univ Hosp,DC,pslf_friendly,Univ
MedStar National Rehab Hosp,DC,ambiguous,
MedStar Washington Hosp Ctr,DC,ambiguous,
St Elizabeths Hospital/DBH,DC,ambiguous,
Aventura Hospital,FL,ambiguous,
BayCare Health System,FL,pslf_friendly,Health System
Bayfront Med Ctr,FL,pslf_friendly,Med Ctr
Borinquen Health Care Ctr,FL,ambiguous,
Broward Health Med Ctr,FL,pslf_friendly,Med Ctr
Centerstone,FL,ambiguous,
Citrus Health Network,FL,ambiguous,
FAU-Schmidt COM,FL,ambiguous,
HCA Florida JFK Hosp-U Miami,FL,pslf_hostile,HCA
HCA Healthcare/JFK Med Center-UMiami,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Blake,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Brandon,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Citrus,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Largo,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Oak Hill,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Sarasota,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-St Pete,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani GME-Trinity,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani-Bayonet Pt,FL,pslf_hostile,HCA
HCA Healthcare/USF Morsani-Northside,FL,pslf_hostile,HCA
Halifax Med Ctr,FL,pslf_friendly,Med Ctr
Jessie Trice Comm Hlth Sys,FL,ambiguous,
Johns Hopkins All Childrens Hosp,FL,pslf_friendly,Children
Kendall Regional Med Ctr,FL,pslf_friendly,Med Ctr
Keralty Hospital,FL,ambiguous,
Lakeland Regional Health,FL,ambiguous,
Lakeside Med Ctr,FL,pslf_friendly,Med Ctr
Larkin Comm Hosp Palm Springs Campus,FL,ambiguous,
Larkin Community Hospital,FL,ambiguous,
Manatee Memorial Hosp,FL,pslf_friendly,Memorial
Mayo Clinic School of Grad Med Educ,FL,pslf_friendly,Mayo Clinic
Memorial Healthcare System,FL,pslf_friendly,Healthcare
Mt Sinai Med Ctr-Miami,FL,pslf_friendly,Med Ctr
NCH Healthcare Sys,FL,pslf_friendly,Healthcare
Nemours Childrens Hosp,FL,pslf_friendly,Children
Nicklaus Childrens Hospital-Miami,FL,pslf_friendly,Children
Nova Southeastern University KPCOM,FL,pslf_friendly,VA
Orlando Health,FL,ambiguous,
Palm Beach Consortium for GME,FL,ambiguous,
Palmetto General Hosp,FL,ambiguous,
Southern Winds Hospital,FL,ambiguous,
St Vincents Med Ctr,FL,pslf_friendly,Med Ctr
Tallahassee Mem Healthcare,FL,pslf_friendly,Healthcare
U Miami MSOM/Holy Cross,FL,pslf_friendly,SOM
U Miami/Jackson Health System,FL,pslf_friendly,Health System
Wellington Reg Med Ctr,FL,pslf_friendly,Med Ctr
West Kendall Baptist Hospital,FL,ambiguous,
AU-UGA Medical Partnership,GA,ambiguous,
AdventHealth Redmond,GA,ambiguous,
Atlanta Med Ctr,GA,pslf_friendly,Med Ctr
Atrium Health Navicent Med Ctr,GA,pslf_friendly,Med Ctr
Colquitt Regional Med Ctr,GA,pslf_friendly,Med Ctr
Emory Univ SOM,GA,pslf_friendly,Univ
Floyd Med Ctr,GA,pslf_friendly,Med Ctr
Gateway Behavioral Hlth Comm Svc,GA,ambiguous,
Hamilton Med Ctr,GA,pslf_friendly,Med Ctr
Houston Healthcare,GA,pslf_friendly,Healthcare
Memorial Health Univ Med Ctr,GA,pslf_friendly,Univ
Morehouse Sch of Med,GA,ambiguous,
Northside Hospital Gwinnett,GA,ambiguous,
Phoebe Putney Mem Hosp,GA,ambiguous,
Piedmont Athens Regional,GA,ambiguous,
Piedmont Columbus Regional,GA,ambiguous,
Piedmont Macon Med Ctr,GA,pslf_friendly,Med Ctr
St Francis-Emory Healthcare,GA,pslf_friendly,Emory
WellStar Health System,GA,pslf_friendly,Health System
Wellstar Spalding Reg Hosp,GA,ambiguous,
Hilo Medical Center,HI,pslf_friendly,Medical Center
Tripler Army Med Ctr,HI,pslf_friendly,Army
Waianae Coast Comprehensive Health,HI,ambiguous,
Full Circle Health,ID,ambiguous,
Kootenai Health,ID,ambiguous,
Mountain States Institute,ID,pslf_friendly,Institute
U Washington Boise,ID,pslf_friendly,U Washington
Advocate Health Care,IL,ambiguous,
Amita St Francis Hosp,IL,ambiguous,
Ascension Resurrection,IL,ambiguous,
Ascension St Alexius,IL,ambiguous,
Ascension St Francis,IL,ambiguous,
Ascension St Joseph,IL,ambiguous,
Ascension St Mary,IL,ambiguous,
Carle Foundation Hosp,IL,ambiguous,
Cook County Health and Hosps Sys,IL,pslf_friendly,County
Franciscan Health Olympia Fields,IL,ambiguous,
Hinsdale Hospital,IL,ambiguous,
Jackson Park Hosp,IL,ambiguous,
La Grange Mem Hosp,IL,ambiguous,
Lawndale Christian Health Ctr,IL,ambiguous,
Loyola Univ Med Ctr,IL,pslf_friendly,Univ
MacNeal Hospital,IL,ambiguous,
Marianjoy Rehab Hosp,IL,ambiguous,
Mercyhealth GME Consortium,IL,ambiguous,
Mt Sinai Hosp Med Ctr,IL,pslf_friendly,Med Ctr
Northwestern McGaw/Lurie Childrens,IL,pslf_friendly,Children
Northwestern McGaw/NMH/VA,IL,pslf_friendly,Northwestern
Northwestern McGaw/SRAL,IL,pslf_friendly,Northwestern
Quincy Fam Prac Ctr,IL,ambiguous,
RFUMS/Chicago Medical School,IL,pslf_friendly,Medical School
Riverside Medical Ctr,IL,pslf_friendly,Medical Ctr
Rush University Med Ctr,IL,pslf_friendly,University
Rush-Copley Mem Hosp,IL,ambiguous,
SIU Carbondale,IL,ambiguous,
SIU Decatur,IL,ambiguous,
SIU SOM & Affil Hosps,IL,pslf_friendly,SOM
Schwab Rehab Hosp,IL,ambiguous,
Swedish Hospital,IL,ambiguous,
UIC/Metro Group Hospitals,IL,pslf_friendly,Hospitals
UIC/Mt Sinai Hosp Med Ctr,IL,pslf_friendly,Med Ctr
Univ of Chicago Med Ctr,IL,pslf_friendly,Univ
Weiss Memorial Hospital,IL,pslf_friendly,Memorial
West Suburban Med Ctr,IL,pslf_friendly,Med Ctr
Ascension St Vincent Hosp,IN,ambiguous,
Community Health Network,IN,ambiguous,
Deaconess Hospital,IN,ambiguous,
Franciscan Health,IN,ambiguous,
Ft Wayne Med Ed Prog,IN,ambiguous,
Marion Health,IN,ambiguous,
Memorial Hospital,IN,pslf_friendly,Memorial
Parkview Health,IN,ambiguous,
St Josephs Reg Med Ctr,IN,pslf_friendly,Med Ctr
Union Hospital,IN,ambiguous,
Broadlawns Med Ctr,IA,pslf_friendly,Med Ctr
Genesis Quad Cities,IA,ambiguous,
Mercy Med Ctr-Des Moines,IA,pslf_friendly,Med Ctr
Siouxland Med Ed Fdn,IA,ambiguous,
UnityPoint Broadlawns,IA,ambiguous,
HCA Healthcare Kansas City,MO,pslf_hostile,HCA
Appalachian OPTIC,KY,ambiguous,
Appalachian Regional Healthcare,KY,pslf_friendly,Healthcare
Baptist Health Deaconess,KY,ambiguous,
Lake Cumberland Regional Hosp,KY,ambiguous,
Lewis County Primary Care Ctr,KY,pslf_friendly,County
St Elizabeth Med Ctr,KY,pslf_friendly,Med Ctr
U Louisville SOM,KY,pslf_friendly,U Louisville
Baton Rouge Gen Med Ctr,LA,pslf_friendly,Med Ctr
DePaul Community Health Ctr,LA,ambiguous,
East Jefferson Gen Hosp,LA,ambiguous,
LSU SOM-Baton Rouge,LA,pslf_friendly,SOM
LSU SOM-New Orleans,LA,pslf_friendly,SOM
LSUHSC University Hosps & Clinics,LA,pslf_friendly,University
LSUHSC-Lake Charles,LA,ambiguous,
LSUHSC-Shreveport,LA,ambiguous,
Leonard J Chabert Med Ctr,LA,pslf_friendly,Med Ctr
North Oaks Med Ctr LLC,LA,pslf_hostile,LLC
Ochsner Clinic Foundation,LA,ambiguous,
Ochsner Lafayette Gen Med Ctr,LA,pslf_friendly,Med Ctr
Our Lady of the Lake Reg Med Ctr,LA,pslf_friendly,Med Ctr
Rapides Reg Med Ctr,LA,pslf_friendly,Med Ctr
St Francis Med Ctr,LA,pslf_friendly,Med Ctr
Tulane Univ SOM,LA,pslf_friendly,Univ
Willis-Knighton Health System,LA,pslf_friendly,Health System
Anne Arundel Med Ctr,MD,pslf_friendly,Med Ctr
Greater Baltimore Med Ctr,MD,pslf_friendly,Med Ctr
Johns Hopkins Bloomberg SPH,MD,pslf_friendly,Johns Hopkins
Johns Hopkins Hosp,MD,pslf_friendly,Johns Hopkins
Johns Hopkins/Bayview,MD,pslf_friendly,Johns Hopkins
Kaiser Permanente Mid-Atlantic,MD,ambiguous,
MedStar Franklin Square Med Ctr,MD,pslf_friendly,Med Ctr
MedStar Union Memorial Hosp,MD,pslf_friendly,Memorial
Meritus Medical Center,MD,pslf_friendly,Medical Center
Natl Insts of Health,MD,ambiguous,
Sinai Hospital of Baltimore,MD,ambiguous,
St Agnes Hospital,MD,ambiguous,
B I Deaconess Med Ctr,MA,pslf_friendly,Med Ctr
Baystate Franklin Med Ctr,MA,pslf_friendly,Med Ctr
Berkshire Med Ctr,MA,pslf_friendly,Med Ctr
Boston Univ Med Ctr,MA,pslf_friendly,Univ
Brigham & Womens Hosp,MA,pslf_friendly,Brigham
Cambridge Health Alliance,MA,ambiguous,
Childrens Hospital-Boston,MA,pslf_friendly,Children
Grtr Lawrence Fam Hlth Ctr,MA,ambiguous,
Harvard South Shore,MA,pslf_friendly,Harvard
Harvard Spaulding Rehab Hosp,MA,pslf_friendly,Harvard
Lahey Clinic,MA,ambiguous,
