institution,state,pslf_class,pre_fill,pre_quota,pre_n_program_years,post_fill,post_quota,post_n_program_years,delta_fill,delta_pp
Northwestern McGaw/Lurie Childrens,IL,pslf_friendly,1.0000,100,14,1.0000,152,10,0.0000,0.0000
Northwestern McGaw/NMH/VA,IL,pslf_friendly,0.9288,369,50,0.9820,780,116,0.0532,5.3213
Norwalk Hospital,CT,ambiguous,0.9756,316,41,1.0000,52,6,0.0244,2.4390
Nova Southeastern University KPCOM,FL,pslf_friendly,0.9269,291,37,0.9091,50,11,-0.0178,-1.7848
Novant Health,NC,ambiguous,1.0000,5,3,1.0000,24,4,0.0000,0.0000
OMECO,OK,ambiguous,0.8812,73,16,0.7562,527,99,-0.1251,-12.5052
Ochsner Clinic Foundation,LA,ambiguous,0.9556,443,92,0.9592,307,50,0.0036,0.3551
Olive View-UCLA Med Ctr,CA,pslf_friendly,1.0000,53,5,1.0000,174,21,0.0000,0.0000
Orlando Health,FL,ambiguous,1.0000,77,11,0.8772,292,38,-0.1228,-12.2807
Our Lady Of Lourdes,NY,ambiguous,0.8818,163,29,1.0000,58,7,0.1182,11.8227
Our Lady of the Lake Reg Med Ctr,LA,pslf_friendly,1.0000,67,12,0.9375,48,4,-0.0625,-6.2500
PIH Health Hosp Downey,CA,ambiguous,0.9524,38,3,0.9286,27,4,-0.0238,-2.3810
Palmetto General Hosp,FL,ambiguous,0.8933,88,12,0.9251,99,10,0.0318,3.1780
Parkview Med Ctr,CO,pslf_friendly,0.7500,18,4,1.0000,40,4,0.2500,25.0000
Penn Highlands Healthcare,PA,pslf_friendly,0.8333,22,4,0.7500,40,8,-0.0833,-8.3333
Penn State Hershey Med Ctr,PA,pslf_friendly,0.9442,290,49,0.9226,789,128,-0.0216,-2.1617
Penrose Hospital,CO,ambiguous,1.0000,57,7,1.0000,2,1,0.0000,0.0000
Philadelphia Coll of Osteo Med,PA,ambiguous,0.8000,7,2,0.7987,115,31,-0.0013,-0.1344
Phoebe Putney Mem Hosp,GA,ambiguous,1.0000,55,9,0.5625,32,4,-0.4375,-43.7500
Phoenix Childrens Hospital,AZ,pslf_friendly,0.7333,12,3,0.7273,163,11,-0.0061,-0.6061
Piedmont Athens Regional,GA,ambiguous,0.8733,93,10,0.7750,123,8,-0.0983,-9.8333
Piedmont Columbus Regional,GA,ambiguous,1.0000,43,7,1.0000,46,4,0.0000,0.0000
Pine Rest Christian Mental Hlth Svcs,MI,ambiguous,0.9706,80,17,0.9444,48,9,-0.0261,-2.6144
Pomona Valley Hosp,CA,ambiguous,1.0000,70,7,0.8438,29,4,-0.1562,-15.6250
Ponce Health Sciences Univ SOM,PR,pslf_friendly,1.0000,27,2,1.0000,24,4,0.0000,0.0000
Portsmouth Regional Hosp,NH,ambiguous,1.0000,19,4,0.8417,96,12,-0.1583,-15.8333
Poudre Valley Hospital,CO,ambiguous,0.9032,185,24,1.0000,32,4,0.0968,9.6759
Presby Intercommunity Hosp,CA,ambiguous,0.7778,18,9,0.9400,24,10,0.1622,16.2222
Presbyterian Hosp-Dallas,TX,ambiguous,0.9444,2097,323,1.0000,24,4,0.0556,5.5600
Promedica Monroe Reg Hosp,MI,ambiguous,0.9238,269,35,0.7500,44,6,-0.1738,-17.3810
Providence Health,OR,ambiguous,0.8971,172,32,0.9502,136,24,0.0531,5.3096
Providence Hospital,AK,ambiguous,0.8571,44,7,0.7917,48,4,-0.0655,-6.5476
Providence Sacred Heart Med Ctr,WA,pslf_friendly,0.9500,222,31,0.9700,149,20,0.0200,2.0041
Providence St Peter Hospital,WA,ambiguous,0.8933,101,25,0.8274,49,12,-0.0660,-6.5952
Quincy Fam Prac Ctr,IL,ambiguous,0.9597,132,28,0.7917,24,4,-0.1680,-16.8040
RFUMS/Chicago Medical School,IL,pslf_friendly,0.9459,251,37,1.0000,111,11,0.0541,5.4054
Rapides Reg Med Ctr,LA,pslf_friendly,1.0000,46,8,0.9583,24,4,-0.0417,-4.1667
Richmond Univ Med Ctr,NY,pslf_friendly,0.8652,229,45,0.8626,176,24,-0.0026,-0.2647
Riverside Community Hospital,CA,ambiguous,1.0000,67,10,0.8893,334,42,-0.1107,-11.0714
Riverside Reg Med Ctr,VA,pslf_friendly,0.9297,430,76,0.9749,165,18,0.0452,4.5194
Rochester Gen Hosp,NY,ambiguous,0.8993,217,36,0.9440,183,25,0.0447,4.4694
Roger Williams Med Ctr,RI,pslf_friendly,0.9164,169,30,0.9583,74,12,0.0419,4.1923
Roseburg Family Medicine,OR,ambiguous,1.0000,22,3,0.8125,32,4,-0.1875,-18.7500
Rush University Med Ctr,IL,pslf_friendly,1.0000,2,1,0.9555,659,91,-0.0445,-4.4497
Rush-Copley Mem Hosp,IL,ambiguous,1.0000,50,8,0.6250,16,4,-0.3750,-37.5000
Rutgers-R W Johnson Medical School,NJ,pslf_friendly,0.9877,165,27,0.9328,473,80,-0.0549,-5.4877
SIU Carbondale,IL,ambiguous,0.8611,41,9,1.0000,24,4,0.1389,13.8889
SIU Decatur,IL,ambiguous,0.9559,312,51,0.5000,20,4,-0.4559,-45.5882
SIU SOM & Affil Hosps,IL,pslf_friendly,0.9486,380,73,0.9936,343,72,0.0450,4.5004
SSM St Marys Hospital-St Louis,MO,ambiguous,0.9667,157,20,1.0000,40,5,0.0333,3.3333
SUNY HSC Brooklyn,NY,ambiguous,0.8863,257,32,0.9413,1590,180,0.0550,5.4982
San Joaquin Gen Hosp,CA,ambiguous,0.9524,52,9,0.9608,99,17,0.0084,0.8403
San Juan VA Med Ctr,PR,pslf_friendly,0.9556,194,31,1.0000,118,12,0.0444,4.4444
Santa Clara Valley Med Ctr,CA,pslf_friendly,0.9667,397,70,0.9965,189,24,0.0299,2.9861
Schwab Rehab Hosp,IL,ambiguous,1.0000,10,2,1.0000,21,5,0.0000,0.0000
Scripps Clinic/Green Hospital,CA,ambiguous,1.0000,36,3,1.0000,60,4,0.0000,0.0000
Scripps Mercy Hosp-Chula Vista,CA,ambiguous,1.0000,134,19,1.0000,36,4,0.0000,0.0000
Scripps Mercy Hosp-San Diego,CA,ambiguous,1.0000,69,9,1.0000,128,14,0.0000,0.0000
Sea Mar Community Health Ctrs,WA,ambiguous,1.0000,42,5,0.9667,34,3,-0.0333,-3.3333
Self Regional Healthcare,SC,pslf_friendly,0.5000,2,2,0.9750,40,4,0.4750,47.5000
Shasta Community Health Ctr,CA,ambiguous,0.8333,70,9,0.8750,16,4,0.0417,4.1667
Sinai Hospital of Baltimore,MD,ambiguous,0.9853,82,17,0.9706,184,34,-0.0147,-1.4706
Siouxland Med Ed Fdn,IA,ambiguous,0.9524,58,7,0.9632,653,119,0.0109,1.0854
South Baldwin Reg Med Ctr,AL,pslf_friendly,0.8611,44,6,1.0000,11,1,0.1389,13.8889
Southeast Health,AL,ambiguous,1.0000,22,4,0.8854,112,8,-0.1146,-11.4583
Southern Regional AHEC,NC,ambiguous,0.9829,265,39,0.9521,854,147,-0.0308,-3.0768
Sovah Health-Danville,VA,ambiguous,0.9377,327,58,0.9381,710,125,0.0004,0.0361
St Agnes Hospital,MD,ambiguous,0.9197,520,94,0.9587,1125,188,0.0390,3.8973
St Agnes Med Ctr,CA,pslf_friendly,0.9536,147,30,0.9291,182,16,-0.0245,-2.4485
St Anthony Hospital,OK,ambiguous,0.9031,637,111,0.9626,805,128,0.0595,5.9468
St Anthony Hospital North,CO,ambiguous,0.9231,31,4,1.0000,10,2,0.0769,7.6923
St Barnabas Hosp,NY,ambiguous,0.9833,94,15,0.8017,119,20,-0.1817,-18.1667
St Elizabeth Health Ctr-Boardman,OH,ambiguous,0.9274,70,13,0.9444,62,12,0.0171,1.7094
St Elizabeth Med Ctr,KY,pslf_friendly,0.9385,345,66,0.9069,838,138,-0.0316,-3.1615
St Elizabeth Med Ctr,NY,pslf_friendly,0.9381,66,10,1.0000,30,3,0.0619,6.1905
St Elizabeth Youngstown Hosp,OH,ambiguous,0.5000,2,1,0.9750,104,20,0.4750,47.5000
St Elizabeths Hospital/DBH,DC,ambiguous,0.9200,31,5,0.9833,481,65,0.0633,6.3333
St Elizabeths Med Ctr,MA,pslf_friendly,0.9390,333,59,0.8205,193,33,-0.1186,-11.8576
St Francis Hospital,DE,ambiguous,1.0000,23,6,0.9583,24,4,-0.0417,-4.1667
St Johns Riverside Hospital,NY,ambiguous,0.9210,282,43,0.8741,89,12,-0.0469,-4.6947
St Joseph Hospital SCL Health,CO,ambiguous,0.9514,111,18,0.9311,177,26,-0.0203,-2.0299
St Josephs Health,NY,ambiguous,0.9821,32,4,0.9792,78,8,-0.0030,-0.2976
St Josephs Med Ctr,CA,pslf_friendly,1.0000,4,1,0.9806,277,30,-0.0194,-1.9444
St Josephs Reg Med Ctr,IN,pslf_friendly,0.9375,36,4,0.9722,36,4,0.0347,3.4722
St Josephs Univ Med Ctr,NJ,pslf_friendly,0.8646,205,32,0.8977,251,44,0.0331,3.3144
St Louis Childrens Hosp,MO,pslf_friendly,1.0000,32,4,0.9796,160,19,-0.0204,-2.0374
St Louis Univ SOM,MO,pslf_friendly,0.9402,632,112,1.0000,1,1,0.0598,5.9848
St Lukes Hosp-Bethlehem,PA,ambiguous,0.9189,131,19,0.9550,226,37,0.0361,3.6095
St Lukes Hospital-St Louis,MO,ambiguous,0.8571,48,7,1.0000,64,8,0.1429,14.2857
St Lukes Warren Hospital,NJ,ambiguous,1.0000,99,15,1.0000,24,4,0.0000,0.0000
St Mary Med Ctr-Long Beach,CA,pslf_friendly,1.0000,13,3,0.7454,61,9,-0.2546,-25.4630
St Mary-Corwin Med Ctr,CO,pslf_friendly,0.9286,58,14,1.0000,8,2,0.0714,7.1429
St Marys Hospital,CT,ambiguous,0.9425,305,58,1.0000,71,16,0.0575,5.7471
St Peters University Hosp,NJ,pslf_friendly,0.9931,138,24,0.9231,119,13,-0.0700,-6.9979
St Vincent Charity Med Ctr,OH,pslf_friendly,0.9154,187,33,1.0000,12,1,0.0846,8.4596
St Vincent Hosp-Worcester,MA,ambiguous,1.0000,51,5,0.9792,124,12,-0.0208,-2.0833
St Vincents East,AL,ambiguous,0.9137,122,28,1.0000,32,4,0.0863,8.6310
St Vincents Med Ctr,CT,pslf_friendly,0.9688,410,80,1.0000,73,13,0.0312,3.1250
St Vincents Med Ctr,FL,pslf_friendly,1.0000,116,14,1.0000,44,4,0.0000,0.0000
Stamford Hospital/Columbia,CT,pslf_friendly,0.9200,170,25,0.9583,807,103,0.0383,3.8333
Steward Carney Hospital,MA,pslf_hostile,0.9667,83,18,0.9127,47,9,-0.0540,-5.3968
Still OPTI-Northeast Reg Med Ctr,MO,pslf_friendly,0.7917,105,20,0.8862,448,71,0.0945,9.4484
Still OPTI-Peak Vista FMRP,CO,ambiguous,0.7500,23,6,0.9250,959,162,0.1750,17.5049
Stony Brook Teach Hosps,NY,ambiguous,0.9359,350,61,0.9513,688,137,0.0154,1.5428
Summa Health/NEOMED,OH,ambiguous,0.9316,146,28,0.9286,303,44,-0.0030,-0.3020
Sunrise Health GME Consortium,NV,ambiguous,0.9211,180,26,0.8270,591,72,-0.0940,-9.4024
Sutter Health,CA,ambiguous,1.0000,29,8,0.8697,279,36,-0.1303,-13.0291
Sutter Med Ctr of Santa Rosa,CA,pslf_friendly,0.9701,546,67,0.9878,801,91,0.0177,1.7696
Swedish Med Ctr,WA,pslf_friendly,0.9333,95,27,0.9500,168,48,0.0167,1.6667
Tallahassee Mem Healthcare,FL,pslf_friendly,1.0000,39,7,0.9291,2204,304,-0.0709,-7.0902
Temple Univ Hosp,PA,pslf_friendly,0.9167,128,18,0.9149,613,93,-0.0018,-0.1779
Temple Univ/Fox Chase Cancer Ctr,PA,ambiguous,1.0000,41,7,0.8333,9,4,-0.1667,-16.6667
Thomas Jefferson Univ,PA,ambiguous,0.9545,173,22,0.9304,670,91,-0.0241,-2.4143
Tidelands Health,SC,ambiguous,0.9500,142,22,0.9000,38,5,-0.0500,-5.0000
Tower Health/Chestnut Hill Hosp,PA,ambiguous,1.0000,42,8,1.0000,6,1,0.0000,0.0000
Tower Health/Reading Hospital,PA,ambiguous,0.9848,107,22,0.9808,257,43,-0.0040,-0.4035
Trident Medical Center,SC,pslf_friendly,0.9261,325,49,0.6966,117,17,-0.2295,-22.9529
Trios Health,WA,ambiguous,0.9439,109,22,0.9438,1141,180,-0.0001,-0.0136
Tripler Army Med Ctr,HI,pslf_friendly,0.8316,96,19,0.9606,279,55,0.1290,12.9027
Tucson Hospitals Med Ed,AZ,pslf_friendly,0.9256,287,42,0.9657,1203,170,0.0401,4.0109
Tufts Medical Center,MA,pslf_friendly,0.8389,88,12,0.9259,369,63,0.0870,8.7037
Tulane Univ SOM,LA,pslf_friendly,1.0000,26,6,0.9563,462,84,-0.0437,-4.3651
U Cincinnati Med Ctr,OH,pslf_friendly,1.0000,70,9,0.9673,562,107,-0.0327,-3.2710
U Louisville SOM,KY,pslf_friendly,0.9478,413,68,0.9323,699,104,-0.0155,-1.5495
U Miami MSOM/Holy Cross,FL,pslf_friendly,0.6250,8,1,0.9875,151,16,0.3625,36.2500
U Rochester/Strong Memorial,NY,pslf_friendly,0.9605,254,46,0.9578,727,133,-0.0028,-0.2756
UAB Selma Fam Med Res,AL,ambiguous,1.0000,18,3,1.0000,21,4,0.0000,0.0000
UAMS Regional Centers,AR,ambiguous,0.9943,129,22,0.7405,234,32,-0.2539,-25.3867
UC Davis Med Ctr,CA,pslf_friendly,0.9608,414,80,0.9832,669,125,0.0224,2.2367
UC Irvine Med Ctr,CA,pslf_friendly,0.9500,40,10,0.9629,746,107,0.0129,1.2855
UC Riverside SOM,CA,pslf_friendly,0.9844,61,8,0.8750,134,12,-0.1094,-10.9375
UC San Diego Med Ctr,CA,pslf_friendly,0.9645,378,44,0.9891,686,122,0.0245,2.4538
UC San Francisco,CA,ambiguous,0.9444,408,54,0.9736,1094,143,0.0292,2.9183
UC San Francisco-East Bay,CA,ambiguous,0.7619,23,3,0.7083,64,8,-0.0536,-5.3571
UC San Francisco-Fresno,CA,ambiguous,0.9231,119,13,0.9580,294,32,0.0349,3.4884
UHS-Wilson Med Ctr,NY,pslf_friendly,0.8857,37,7,0.9524,118,14,0.0667,6.6667
UIC/Mt Sinai Hosp Med Ctr,IL,pslf_friendly,0.7500,9,4,0.5625,22,8,-0.1875,-18.7500
UP Health System-Marquette,MI,pslf_friendly,0.9500,52,5,0.6667,24,4,-0.2833,-28.3333
UPMC Altoona Hospital,PA,ambiguous,0.8800,21,5,1.0000,48,8,0.1200,12.0000
UPMC Hamot Med Ctr,PA,pslf_friendly,0.9375,101,24,0.8958,50,16,-0.0417,-4.1667
UPMC McKeesport,PA,ambiguous,1.0000,148,13,1.0000,66,7,0.0000,0.0000
UPMC Medical Education,PA,ambiguous,0.9751,539,64,0.9869,1048,191,0.0118,1.1769
UPMC Mercy Hospital,PA,ambiguous,0.9600,44,5,0.8167,120,12,-0.1433,-14.3333
UPMC Presbyterian Shadyside,PA,ambiguous,0.9667,28,5,1.0000,43,8,0.0333,3.3333
UPMC St Margaret,PA,ambiguous,0.9286,64,7,1.0000,52,4,0.0714,7.1429
UVM Health Network CVPH,NY,ambiguous,0.8333,14,3,0.7083,24,4,-0.1250,-12.5000
Union Hospital,IN,ambiguous,1.0000,110,11,0.8571,28,4,-0.1429,-14.2857
United Hospital Ctr,WV,ambiguous,0.7917,23,3,0.9298,540,118,0.1381,13.8136
UnityPoint Broadlawns,IA,ambiguous,1.0000,1,1,1.0000,17,4,0.0000,0.0000
Univ Central del Caribe SOM,PR,pslf_friendly,1.0000,55,8,0.9001,487,89,-0.0999,-9.9889
Univ of Chicago Med Ctr,IL,pslf_friendly,0.9637,655,89,0.9836,886,132,0.0198,1.9847
University Hosps-Columbia,MO,pslf_friendly,0.9232,397,80,0.9135,544,98,-0.0097,-0.9685
University Hosps-Jackson,MS,pslf_friendly,0.9316,230,39,0.9007,637,120,-0.0309,-3.0929
University at Buffalo SOM,NY,pslf_friendly,0.9792,100,12,0.9690,735,123,-0.0102,-1.0163
University of Toledo,OH,pslf_friendly,0.8556,102,18,0.9146,357,68,0.0590,5.9028
VA Greater LA Hlth Sys,CA,pslf_friendly,0.8333,30,4,1.0000,52,7,0.1667,16.6667
VCU-Shenandoah Valley,VA,ambiguous,0.8750,19,2,0.9496,737,128,0.0746,7.4642
Valley Childrens Healthcare,CA,pslf_friendly,0.9744,37,3,0.9464,55,4,-0.0279,-2.7930
Valley Consortium,CA,ambiguous,0.9000,22,2,0.9375,52,8,0.0375,3.7500
Valley Health System,NV,pslf_friendly,0.7778,42,6,0.7554,194,21,-0.0224,-2.2375
Valley Health Team,CA,ambiguous,1.0000,30,6,0.9375,16,4,-0.0625,-6.2500
Valley Med Ctr,WA,pslf_friendly,0.9490,258,40,0.9375,32,4,-0.0115,-1.1508
Ventura County Med Ctr,CA,pslf_friendly,1.0000,59,4,1.0000,60,4,0.0000,0.0000
Wake Forest Baptist Med Ctr,NC,pslf_friendly,1.0000,26,5,0.9271,642,90,-0.0729,-7.2862
Waterbury Hospital,CT,ambiguous,0.8750,7,4,0.9375,16,8,0.0625,6.2500
Wayne State University SOM,MI,pslf_friendly,0.9769,697,114,0.8404,473,97,-0.1365,-13.6498
Weiss Memorial Hospital,IL,pslf_friendly,1.0000,18,2,0.9688,32,4,-0.0312,-3.1250
West Kendall Baptist Hospital,FL,ambiguous,0.9333,65,15,1.0000,4,1,0.0667,6.6667
West Suburban Med Ctr,IL,pslf_friendly,1.0000,82,15,0.4333,30,3,-0.5667,-56.6667
Westchester Medical Ctr,NY,pslf_friendly,1.0000,18,8,0.9558,405,77,-0.0442,-4.4156
Western Reserve Health Ed/NEOMED,OH,ambiguous,0.8378,253,37,0.8854,78,16,0.0476,4.7579
Wheeling Hospital,WV,ambiguous,0.9519,127,26,0.8583,27,4,-0.0936,-9.3590
White River Health System,AR,pslf_friendly,1.0000,20,2,1.0000,30,3,0.0000,0.0000
William Beaumont Army Med Ctr,TX,pslf_friendly,0.9333,140,20,0.6458,21,8,-0.2875,-28.7500
Woodhull Med Ctr,NY,pslf_friendly,1.0000,56,7,0.8000,92,5,-0.2000,-20.0000
Wright Center for GME,PA,ambiguous,0.9583,97,14,0.8333,258,24,-0.1250,-12.5000
Wright State Univ Boonshoft SOM,OH,pslf_friendly,0.9164,332,61,0.9473,262,55,0.0309,3.0908
Wyckoff Heights Med Ctr,NY,pslf_friendly,0.9093,265,45,0.9762,152,21,0.0669,6.6931
Yakima Valley Farm Workers Clinic,WA,ambiguous,0.9086,166,29,0.1875,16,4,-0.7211,-72.1121
Yale-New Haven Hosp,CT,pslf_friendly,0.8750,25,4,0.9955,1105,154,0.1205,12.0491
Yuma Regional Med Ctr,AZ,pslf_friendly,0.9744,350,54,0.9044,140,15,-0.0700,-6.9982
Zucker SOM-Northwell Forest Hills Hosp,NY,pslf_friendly,1.0000,77,11,0.9271,56,8,-0.0729,-7.2917
Zucker SOM-Northwell Lenox Hill Hosp,NY,pslf_friendly,1.0000,55,5,0.9556,252,45,-0.0444,-4.4444
Zucker SOM-Northwell Mather Hosp,NY,pslf_friendly,1.0000,52,8,1.0000,160,30,0.0000,0.0000
Zucker SOM-Northwell NS/LIJ,NY,pslf_friendly,0.9455,124,11,0.9316,684,95,-0.0139,-1.3876
Zucker SOM-Northwell Plainview Hosp,NY,pslf_friendly,1.0000,82,13,1.0000,80,8,0.0000,0.0000
Zucker SOM-Northwell Staten Island Univ,NY,pslf_friendly,0.8571,79,7,0.9859,428,59,0.1287,12.8733
Zucker SOM-Northwell Zucker Hillside,NY,pslf_friendly,0.9167,34,4,1.0000,52,8,0.0833,8.3333
