institution,state,pslf_class,pre_fill,pre_quota,pre_n_program_years,post_fill,post_quota,post_n_program_years,delta_fill,delta_pp
Childrens Mercy Hospital,MO,pslf_friendly,0.8468,183,31,0.8681,125,12,0.0213,2.1281
Childrens National Med Ctr,DC,pslf_friendly,0.9286,123,14,1.0000,165,24,0.0714,7.1429
Christ Hospital,OH,ambiguous,0.9444,25,4,0.9545,108,12,0.0101,1.0101
Christiana Care,DE,ambiguous,0.9091,76,11,0.9778,278,45,0.0687,6.8687
Cincinnati Childrens Hosp Med Ctr,OH,pslf_friendly,0.7500,55,4,0.8824,212,17,0.1324,13.2353
Citrus Health Network,FL,ambiguous,1.0000,58,11,0.9843,174,41,-0.0157,-1.5679
City Of Hope,CA,ambiguous,0.9915,60,13,1.0000,6,4,0.0085,0.8547
Clarkson Family Med Res,NE,ambiguous,0.8351,277,44,0.7083,23,4,-0.1268,-12.6763
Cleveland Clinic Fdn,OH,pslf_friendly,0.9315,71,14,0.9784,895,131,0.0469,4.6873
College Med Ctr,CA,pslf_friendly,0.6667,17,3,0.3333,15,3,-0.3333,-33.3333
Concord Hospital,NH,ambiguous,0.6667,10,3,1.0000,32,4,0.3333,33.3333
Cone Health,NC,ambiguous,0.8281,37,8,0.9684,92,19,0.1402,14.0233
Conemaugh Memorial Med Ctr,PA,pslf_friendly,0.8553,158,36,0.9653,120,24,0.1100,10.9954
Conroe Reg Med Ctr,TX,pslf_friendly,0.9800,32,5,0.9375,48,4,-0.0425,-4.2500
Contra Costa Reg Med Ctr,CA,pslf_friendly,1.0000,25,3,1.0000,52,4,0.0000,0.0000
Conway Reg Health Sys,AR,ambiguous,1.0000,4,1,0.9545,43,11,-0.0455,-4.5455
Cook County Health and Hosps Sys,IL,pslf_friendly,1.0000,6,1,0.9690,396,35,-0.0310,-3.0952
Creedmoor Psych Ctr,NY,ambiguous,0.9391,318,39,1.0000,16,4,0.0609,6.0897
Crozer-Chester Med Ctr,PA,pslf_friendly,0.9699,221,41,0.9040,189,25,-0.0660,-6.5952
Damas Hospital,PR,ambiguous,0.9444,62,9,1.0000,76,8,0.0556,5.5556
Danbury Hospital,CT,ambiguous,0.9412,79,17,0.7899,133,23,-0.1513,-15.1321
Dartmouth-Hitchcock Med Ctr,NH,pslf_friendly,1.0000,73,17,0.9525,386,93,-0.0475,-4.7491
Deaconess Hospital,IN,ambiguous,1.0000,38,5,0.7812,32,4,-0.2188,-21.8750
Denver Health Med Ctr,CO,pslf_friendly,0.8852,372,50,1.0000,67,4,0.1148,11.4848
Desert Regional Med Ctr,CA,pslf_friendly,0.9844,48,8,0.9410,107,13,-0.0433,-4.3349
Detroit Med Ctr/WSU,MI,pslf_friendly,0.9417,196,30,0.8890,848,98,-0.0527,-5.2656
Dignity Methodist Hosp-Sacramento,CA,ambiguous,1.0000,30,5,0.9643,38,7,-0.0357,-3.5714
Driscoll Childrens Hosp,TX,pslf_friendly,1.0000,97,10,1.0000,68,4,0.0000,0.0000
Duke Univ Med Ctr,NC,pslf_friendly,0.9783,435,71,0.9583,834,144,-0.0200,-1.9992
East Jefferson Gen Hosp,LA,ambiguous,0.9818,88,16,0.5833,24,4,-0.3984,-39.8438
East Liverpool City Hosp,OH,ambiguous,0.9755,101,17,0.9125,37,8,-0.0630,-6.2990
Eisenhower Med Ctr,CA,pslf_friendly,1.0000,92,11,0.9653,164,12,-0.0347,-3.4722
Emanate Health,CA,ambiguous,1.0000,11,2,0.9688,32,4,-0.0312,-3.1250
Emory Univ SOM,GA,pslf_friendly,0.9535,764,107,0.9852,1098,152,0.0317,3.1703
Englewood Hosp,NJ,ambiguous,0.9583,29,6,0.9667,64,10,0.0083,0.8333
Excela Health Latrobe Hosp,PA,ambiguous,0.9760,114,26,0.8438,32,4,-0.1322,-13.2212
FAU-Schmidt COM,FL,ambiguous,0.9042,139,20,0.8771,578,79,-0.0271,-2.7057
Fairfield Med Ctr,OH,pslf_friendly,1.0000,20,3,0.5563,33,8,-0.4437,-44.3750
Family Health Ctrs of San Diego,CA,ambiguous,0.9167,69,8,1.0000,36,6,0.0833,8.3333
Floyd Med Ctr,GA,pslf_friendly,0.9306,113,18,0.8667,35,5,-0.0639,-6.3889
Flushing Hospital Med Ctr,NY,pslf_friendly,1.0000,136,17,0.9565,167,24,-0.0435,-4.3519
Forbes Family Medicine,PA,ambiguous,1.0000,7,2,1.0000,32,4,0.0000,0.0000
Forrest General Hospital,MS,ambiguous,1.0000,17,4,0.8438,28,4,-0.1562,-15.6250
Franciscan Health Olympia Fields,IL,ambiguous,1.0000,48,3,0.9500,138,20,-0.0500,-5.0000
Ft Wayne Med Ed Prog,IN,ambiguous,0.9800,143,20,0.9438,1322,184,-0.0362,-3.6155
Garden City Hospital,MI,ambiguous,0.9103,51,13,0.8678,94,22,-0.0424,-4.2419
Gateway Behavioral Hlth Comm Svc,GA,ambiguous,1.0000,24,3,1.0000,29,4,0.0000,0.0000
Geisinger Health System,PA,pslf_friendly,0.9027,248,37,0.9431,554,107,0.0404,4.0373
Genesis Quad Cities,IA,ambiguous,1.0000,15,4,1.0000,24,4,0.0000,0.0000
George Washington Univ,DC,ambiguous,0.8750,25,6,0.9981,418,87,0.1231,12.3084
Good Samaritan Hosp-Cinn,OH,ambiguous,0.8300,124,25,0.9000,97,20,0.0700,7.0000
Grand Strand Reg Med Ctr,SC,pslf_friendly,0.9042,54,8,0.8790,208,24,-0.0252,-2.5160
Greater Baltimore Med Ctr,MD,pslf_friendly,1.0000,34,6,0.9688,65,8,-0.0312,-3.1250
Greenwich Hospital,CT,ambiguous,0.9509,337,46,1.0000,52,8,0.0491,4.9094
Griffin Hospital,CT,ambiguous,0.9357,74,14,1.0000,67,17,0.0643,6.4286
Griffin Memorial Hospital,OK,pslf_friendly,1.0000,51,8,1.0000,12,2,0.0000,0.0000
Gundersen Lutheran Med Fdn,WI,ambiguous,0.8889,48,9,0.9844,120,16,0.0955,9.5486
Guthrie/Robert Packer Hosp,PA,ambiguous,0.9167,78,18,0.9023,152,29,-0.0144,-1.4368
HCA Healthcare Kansas City,MO,pslf_hostile,1.0000,17,3,0.9456,1065,192,-0.0544,-5.4398
HCA Healthcare/USF Morsani GME-Largo,FL,pslf_hostile,1.0000,4,1,0.9529,142,24,-0.0471,-4.7108
HCA Healthcare/USF Morsani GME-Oak Hill,FL,pslf_hostile,0.6864,78,11,0.5260,224,25,-0.1603,-16.0349
HCA Healthcare/USF Morsani GME-St Pete,FL,pslf_hostile,1.0000,9,1,0.7648,46,6,-0.2352,-23.5185
HCA Healthcare/USF Morsani GME-Trinity,FL,pslf_hostile,0.8592,59,13,0.6902,140,15,-0.1690,-16.8986
HCA Houston Healthcare/U Houston,TX,pslf_hostile,0.7680,108,14,0.8603,313,24,0.0924,9.2375
Hackensack U Med Ctr,NJ,pslf_friendly,0.9714,104,15,0.9606,208,58,-0.0108,-1.0837
Halifax Med Ctr,FL,pslf_friendly,0.9500,71,10,0.8438,32,4,-0.1062,-10.6250
Hamilton Med Ctr,GA,pslf_friendly,1.0000,22,2,1.0000,76,8,0.0000,0.0000
Harbor-UCLA Med Ctr,CA,pslf_friendly,0.9398,465,53,0.9497,513,71,0.0099,0.9886
Harlem Hospital Ctr,NY,ambiguous,0.9135,105,19,0.9345,212,24,0.0210,2.0990
Harrison Med Ctr,WA,pslf_friendly,0.9222,37,9,1.0000,8,1,0.0778,7.7778
Harvard South Shore,MA,pslf_friendly,1.0000,12,1,1.0000,32,4,0.0000,0.0000
Harvard Spaulding Rehab Hosp,MA,pslf_friendly,1.0000,49,9,1.0000,16,2,0.0000,0.0000
HealthONE,CO,ambiguous,0.9348,155,23,0.9599,288,50,0.0251,2.5106
HealthPartners Institute,MN,pslf_friendly,0.9840,166,25,0.8854,66,16,-0.0986,-9.8583
Hennepin Co Med Ctr,MN,pslf_friendly,0.8750,324,64,0.9545,251,33,0.0795,7.9545
Henry Ford Hospital,MI,ambiguous,0.9286,371,56,0.9665,604,77,0.0379,3.7879
Henry Ford Macomb Hospital,MI,ambiguous,0.9615,30,6,0.9241,140,28,-0.0374,-3.7431
Henry Ford Wyandotte Hospital,MI,ambiguous,0.8222,60,15,0.9062,59,12,0.0840,8.4028
Hilo Medical Center,HI,pslf_friendly,1.0000,61,11,0.9167,44,8,-0.0833,-8.3333
Hinsdale Hospital,IL,ambiguous,0.9322,292,43,1.0000,36,4,0.0678,6.7829
HonorHealth,AZ,ambiguous,0.9268,386,69,0.9630,111,27,0.0362,3.6151
Hosp Episcopal San Lucas,PR,ambiguous,0.9434,139,28,0.9224,173,28,-0.0210,-2.0984
Hosp For Special Surgery,NY,ambiguous,1.0000,74,13,1.0000,36,4,0.0000,0.0000
Hospital de la Concepcion,PR,ambiguous,0.8810,28,7,1.0000,28,4,0.1190,11.9048
Houston Healthcare,GA,pslf_friendly,0.9500,33,4,0.9239,505,102,-0.0261,-2.6137
Howard Univ Hosp,DC,pslf_friendly,0.9444,223,36,0.9707,281,42,0.0262,2.6212
Huntington Memorial Hosp,CA,pslf_friendly,1.0000,31,10,0.9792,67,12,-0.0208,-2.0833
Hurley Medical Ctr,MI,pslf_friendly,0.9697,57,11,0.8912,133,19,-0.0785,-7.8469
In His Image Family Med,OK,ambiguous,0.9194,199,31,0.9250,40,4,0.0056,0.5645
Inova Fairfax Hospital,VA,pslf_friendly,1.0000,62,12,0.9968,191,24,-0.0032,-0.3205
Institute for Family Health,NY,pslf_friendly,1.0000,41,5,0.8889,70,9,-0.1111,-11.1111
Integris Health,OK,ambiguous,0.8929,56,14,0.9872,68,13,0.0943,9.4322
Intermountain Med Ctr,UT,pslf_friendly,1.0000,8,2,1.0000,34,5,0.0000,0.0000
JFK Med Ctr,NJ,pslf_friendly,1.0000,33,5,0.9709,252,37,-0.0291,-2.9106
Jacobi Med Ctr/Einstein,NY,pslf_friendly,0.9415,390,39,1.0000,289,29,0.0585,5.8536
Jamaica Hosp Med Ctr,NY,pslf_friendly,0.9380,60,11,0.8235,119,17,-0.1145,-11.4487
Jersey Shore Univ Med Ctr,NJ,pslf_friendly,0.9571,528,78,0.9779,226,60,0.0209,2.0892
Jewish Hospital,OH,ambiguous,0.8551,168,20,0.8330,96,13,-0.0221,-2.2134
John Muir Health,CA,ambiguous,1.0000,6,1,1.0000,32,4,0.0000,0.0000
John Peter Smith Hosp,TX,ambiguous,0.9652,1033,161,0.9965,276,24,0.0313,3.1343
Johns Hopkins Hosp,MD,pslf_friendly,0.8611,36,6,0.9374,946,170,0.0763,7.6256
Johns Hopkins/Bayview,MD,pslf_friendly,0.9333,80,15,1.0000,89,15,0.0667,6.6667
KCU-GME Consortium,MO,ambiguous,0.8889,23,9,0.8922,171,45,0.0033,0.3280
Kadlec Regional Med Ctr,WA,pslf_friendly,0.9167,19,4,0.9792,56,12,0.0625,6.2500
Kaiser Permanente Mid-Atlantic,MD,ambiguous,0.8842,166,32,1.0000,24,4,0.1158,11.5774
Kaiser Permanente-Fontana,CA,ambiguous,1.0000,40,8,1.0000,103,16,0.0000,0.0000
Kaiser Permanente-Los Angeles,CA,ambiguous,0.9123,119,19,0.9513,234,52,0.0390,3.9001
Kaiser Permanente-Napa/Solano,CA,ambiguous,0.8333,17,3,1.0000,24,4,0.1667,16.6667
Kaiser Permanente-Oakland,CA,ambiguous,0.9231,78,13,0.9747,176,35,0.0516,5.1617
Kaiser Permanente-Orange Co,CA,ambiguous,0.9557,134,23,1.0000,32,4,0.0443,4.4325
Kaiser Permanente-Riverside,CA,ambiguous,0.7917,66,9,1.0000,24,4,0.2083,20.8333
Kaiser Permanente-SF,CA,ambiguous,0.9465,268,50,0.9818,93,15,0.0353,3.5325
Kaiser Permanente-San Diego,CA,ambiguous,0.9375,78,16,1.0000,48,8,0.0625,6.2500
Kaiser Permanente-San Jose,CA,ambiguous,0.9444,70,15,1.0000,48,8,0.0556,5.5556
Kaiser Permanente-Santa Clara,CA,ambiguous,0.9800,89,20,0.9531,104,16,-0.0269,-2.6875
Kaiser Permanente-Santa Rosa,CA,ambiguous,1.0000,27,4,1.0000,25,4,0.0000,0.0000
Kaiser Permanente-Woodland Hills,CA,ambiguous,1.0000,16,3,1.0000,24,4,0.0000,0.0000
Kaweah Delta Health Care District,CA,ambiguous,1.0000,127,20,0.8528,196,29,-0.1472,-14.7215
Kent Hospital,RI,ambiguous,0.8333,26,5,0.9062,32,4,0.0729,7.2917
Kern Med Ctr,CA,pslf_friendly,1.0000,30,6,0.9500,121,20,-0.0500,-5.0000
Kettering Health Network,OH,ambiguous,0.9778,72,15,0.9598,293,68,-0.0180,-1.7963
Kootenai Health,ID,ambiguous,1.0000,4,1,0.9286,28,4,-0.0714,-7.1429
LECOM Health,PA,ambiguous,0.7801,94,16,0.7389,68,15,-0.0412,-4.1245
LSU SOM-Baton Rouge,LA,pslf_friendly,1.0000,78,13,0.9875,149,20,-0.0125,-1.2500
LSU SOM-New Orleans,LA,pslf_friendly,0.9464,455,83,0.9548,633,106,0.0085,0.8483
LSUHSC-Shreveport,LA,ambiguous,0.8915,275,49,0.9498,511,92,0.0583,5.8322
La Grange Mem Hosp,IL,ambiguous,0.9631,146,26,0.9643,28,4,0.0011,0.1145
Lahey Clinic,MA,ambiguous,0.9667,64,12,0.9808,157,26,0.0141,1.4103
Lancaster Gen Hosp,PA,ambiguous,0.9667,97,20,1.0000,52,4,0.0333,3.3333
Lankenau Med Ctr,PA,pslf_friendly,0.9323,226,32,0.9250,168,20,-0.0073,-0.7292
Larkin Community Hospital,FL,ambiguous,1.0000,31,4,0.9509,248,42,-0.0491,-4.9107
Legacy Emanuel/Good Samaritan,OR,ambiguous,0.9604,153,24,0.9583,889,128,-0.0021,-0.2113
Lehigh Valley Hosp,PA,ambiguous,0.9643,151,28,0.9291,399,69,-0.0352,-3.5197
Leonard J Chabert Med Ctr,LA,pslf_friendly,0.7778,43,9,0.8750,8,1,0.0972,9.7222
LewisGale Med Ctr,VA,pslf_friendly,0.6702,64,7,0.4585,221,20,-0.2118,-21.1766
Lifelong Medical Care,CA,ambiguous,1.0000,14,3,0.9167,24,4,-0.0833,-8.3333
Lincoln Med Ctr,NY,pslf_friendly,0.8701,114,12,0.9915,406,35,0.1214,12.1404
Lincoln Med Ed Partnership,NE,ambiguous,0.8788,125,21,0.9693,607,122,0.0904,9.0447
Loma Linda University,CA,pslf_friendly,0.9500,181,20,0.9816,817,142,0.0316,3.1574
Long Beach Mem Med Ctr,CA,pslf_friendly,0.9697,56,11,1.0000,32,4,0.0303,3.0303
Lower Bucks Hosp,PA,ambiguous,1.0000,14,3,1.0000,44,8,0.0000,0.0000
Loyola Univ Med Ctr,IL,pslf_friendly,0.9641,275,38,0.9561,533,81,-0.0080,-0.8024
Lynchburg Fam Med Res,VA,ambiguous,0.9615,100,13,0.8889,36,4,-0.0726,-7.2650
MSUCOM Statewide Campus Sys,MI,ambiguous,0.7308,46,13,0.9375,16,4,0.2067,20.6731
MacNeal Hospital,IL,ambiguous,0.9727,170,19,0.9205,160,16,-0.0523,-5.2290
Magnolia Regional Health Ctr,MS,ambiguous,0.9694,234,40,0.8542,54,8,-0.1152,-11.5208
Maimonides Med Ctr,NY,pslf_friendly,0.9643,461,61,0.9637,474,56,-0.0006,-0.0634
Marian Regional Med Ctr,CA,pslf_friendly,0.7778,12,3,1.0000,36,8,0.2222,22.2222
Marianjoy Rehab Hosp,IL,ambiguous,0.6667,9,3,1.0000,24,4,0.3333,33.3333
Marshall University SOM,WV,pslf_friendly,0.9156,309,52,0.8884,268,44,-0.0272,-2.7205
Marshfield Clinic,WI,ambiguous,0.9523,678,123,0.9635,980,158,0.0112,1.1199
Mayo Clinic School of Grad Med Educ,FL,pslf_friendly,0.8893,142,21,0.9590,242,61,0.0697,6.9731
Mayo Clinic School of Grad Med Educ,MN,pslf_friendly,0.9167,182,39,0.9730,1790,285,0.0563,5.6287
McKay-Dee Hospital Ctr,UT,ambiguous,0.9669,305,63,0.9725,1165,243,0.0056,0.5556
McLeod Reg Med Ctr,SC,pslf_friendly,0.9559,408,57,0.9134,1606,274,-0.0426,-4.2577
MedStar Franklin Square Med Ctr,MD,pslf_friendly,1.0000,93,15,0.9500,58,15,-0.0500,-5.0000
MedStar Georgetown Univ Hosp,DC,pslf_friendly,0.9157,134,19,0.9103,466,70,-0.0054,-0.5398
MedStar National Rehab Hosp,DC,ambiguous,1.0000,39,4,1.0000,24,4,0.0000,0.0000
MedStar Union Memorial Hosp,MD,pslf_friendly,0.9187,133,12,0.9710,255,23,0.0524,5.2364
Memorial Health System,OH,pslf_friendly,0.8596,115,19,0.8056,52,9,-0.0541,-5.4094
Memorial Healthcare System,FL,pslf_friendly,1.0000,59,11,1.0000,283,44,0.0000,0.0000
Memorial Hermann Hosp,TX,pslf_friendly,0.7255,33,3,1.0000,56,4,0.2745,27.4510
Memorial Hospital,IN,pslf_friendly,1.0000,28,4,1.0000,39,4,0.0000,0.0000
Memorial Sloan-Kettering,NY,pslf_friendly,1.0000,115,16,1.0000,120,8,0.0000,0.0000
Mercy Catholic Med Ctr,PA,pslf_friendly,0.8764,130,23,0.8375,171,24,-0.0389,-3.8898
Mercy Health System,WI,pslf_friendly,0.9471,200,39,0.8367,34,7,-0.1104,-11.0381
Mercy Hospital St Louis,MO,ambiguous,1.0000,80,13,0.9688,115,16,-0.0312,-3.1250
Mercy Med Ctr-Des Moines,IA,pslf_friendly,0.9583,296,50,0.8461,189,36,-0.1123,-11.2269
Mercy Med Ctr-Merced,CA,pslf_friendly,1.0000,27,6,0.9375,32,4,-0.0625,-6.2500
Mercy Med Ctr-Redding,CA,pslf_friendly,0.9524,100,14,0.5000,24,4,-0.4524,-45.2381
Mercyhealth GME Consortium,IL,ambiguous,1.0000,62,6,0.9500,92,8,-0.0500,-5.0000
Merit Health Wesley,MS,ambiguous,0.9402,57,11,0.7735,207,22,-0.1667,-16.6701
Methodist Health System Dallas,TX,pslf_friendly,1.0000,100,18,0.9667,112,20,-0.0333,-3.3333
Methodist Hospital-Houston,TX,ambiguous,0.9474,334,63,0.9929,300,53,0.0456,4.5570
MetroWest Med Ctr-Framingham,MA,pslf_friendly,1.0000,65,8,0.9062,80,8,-0.0938,-9.3750
Middlesex Hospital,CT,ambiguous,1.0000,49,6,0.9643,28,4,-0.0357,-3.5714
Midwestern University OPTI,AZ,pslf_friendly,0.8709,97,17,0.8448,153,32,-0.0261,-2.6123
Montefiore Med Ctr/Einstein,NY,pslf_friendly,0.8526,165,18,0.9416,1096,133,0.0890,8.8960
Montefiore-New Rochelle/Einstein,NY,ambiguous,0.9000,52,10,1.0000,83,8,0.1000,10.0000
Morehouse Sch of Med,GA,ambiguous,0.8111,130,20,0.9095,558,67,0.0983,9.8344
Mount Carmel Health System,OH,pslf_friendly,0.9176,152,25,0.7074,101,22,-0.2102,-21.0188
MountainView Reg Med Ctr,NM,pslf_friendly,1.0000,13,3,0.9017,62,13,-0.0983,-9.8291
Mt Auburn Hospital,MA,ambiguous,1.0000,72,8,0.9732,100,14,-0.0268,-2.6786
Mt Sinai Hosp Med Ctr,IL,pslf_friendly,1.0000,26,3,0.8750,28,8,-0.1250,-12.5000
Mt Sinai Med Ctr-Miami,FL,pslf_friendly,0.8848,380,56,0.9490,212,39,0.0642,6.4202
Munson Med Ctr,MI,pslf_friendly,0.9062,72,8,0.9167,24,4,0.0104,1.0417
NCH Healthcare Sys,FL,pslf_friendly,1.0000,18,3,0.9792,87,8,-0.0208,-2.0833
NYMC-Metropolitan Hosp Ctr,NY,ambiguous,1.0000,33,3,0.9754,287,42,-0.0246,-2.4638
NYMC-St Josephs Med Ctr,NY,pslf_friendly,0.9882,141,17,1.0000,52,7,0.0118,1.1765
NYP Brooklyn Methodist Hosp,NY,ambiguous,0.9439,199,24,0.8814,318,35,-0.0625,-6.2492
NYP Hosp-Columbia & Cornell,NY,pslf_friendly,0.9895,317,38,1.0000,123,12,0.0105,1.0526
NYP Hosp-Columbia Univ Med Ctr,NY,pslf_friendly,0.9691,468,55,0.9597,716,94,-0.0095,-0.9457
NYP Hosp-Weill Cornell Med Ctr,NY,pslf_friendly,0.9452,221,33,0.9819,607,80,0.0367,3.6673
Nassau Univ Med Ctr,NY,pslf_friendly,0.8929,61,6,0.8213,579,88,-0.0715,-7.1533
Nationwide Childrens Hosp,OH,pslf_friendly,0.9634,227,41,0.9532,1458,219,-0.0102,-1.0231
Natividad Med Ctr,CA,pslf_friendly,0.6667,15,3,0.7500,40,4,0.0833,8.3333
Natl Insts of Health,MD,ambiguous,0.8933,308,50,1.0000,16,8,0.1067,10.6667
Nazareth Hospital,PA,ambiguous,1.0000,43,6,0.7685,106,18,-0.2315,-23.1481
Nemours Childrens Hosp,FL,pslf_friendly,0.9815,47,9,1.0000,56,4,0.0185,1.8519
New Bridge Med Ctr,NJ,pslf_friendly,0.9762,47,7,1.0000,27,3,0.0238,2.3810
New Hanover Reg Med Ctr,NC,pslf_friendly,0.9455,154,33,0.8310,114,35,-0.1146,-11.4574
Newton-Wellesley Hosp,MA,ambiguous,1.0000,9,2,1.0000,20,2,0.0000,0.0000
Niagara Falls Mem Med Ctr,NY,pslf_friendly,1.0000,8,3,1.0000,16,4,0.0000,0.0000
Nicklaus Childrens Hospital-Miami,FL,pslf_friendly,0.9500,41,5,0.9907,113,8,0.0407,4.0741
North Shore Med Ctr/Salem Hosp,MA,pslf_friendly,0.9410,348,60,1.0000,23,5,0.0590,5.9000
