institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
Atlantic Health System,NJ,Morristown,2,2,68,13.6,0.8690476190476192,L20,L,Vision Atlantic Inc,False,False,pslf_eligible_501c3,3.0
Atrium Health Cabarrus,NC,Concord,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Atrium Health Navicent Med Ctr,GA,Macon,7,5,167,33.4,0.8516129032258064,,,,False,False,no_propublica_match,
Augusta Health,VA,Fisherville,1,1,22,4.4,1.0,E220,E,Augusta Health Care Inc Augusta Medical Center,False,False,pslf_eligible_501c3,3.0
Aultman Hospital/NEOMED,OH,Canton,5,5,116,23.2,0.9378881987577641,,,,False,False,no_propublica_match,
Aurora Health Care/ASMC,WI,Milwaukee,4,3,106,21.2,0.8970588235294118,,,,False,False,no_propublica_match,
Aurora St Lukes Medical Ctr,WI,Millwaukee,4,4,128,25.6,0.9708333333333334,,,St Lukes,False,False,no_propublica_match,
Authority Health GME,MI,Detroit,18,7,503,100.6,0.881012658227848,L20Z,L,Westside Health Authority,False,False,pslf_eligible_501c3,3.0
Aventura Hospital,FL,Aventura,7,6,54,10.8,0.9,B92,B,Aventura Reads,True,False,pslf_eligible_501c3,3.0
B I Deaconess Med Ctr,MA,Boston,25,15,833,166.6,0.9979612640163098,X99,X,Massachusetts Baptist Deacons & Deaconess Association,False,False,no_propublica_match,
Baptist Health,AR,North Little Rock,4,4,208,41.6,0.9052631578947368,E220,E,Baptist Health,False,False,pslf_eligible_501c3,3.0
Baptist Health Deaconess,KY,Madisonville,1,1,29,5.8,0.9,E220,E,Baptist Health Deaconess Madisonville Inc,False,False,pslf_eligible_501c3,3.0
Baptist Mem Hosp DeSoto,MS,Southaven,6,4,73,14.6,0.9404761904761905,,,,False,False,no_propublica_match,
Baptist Mem Hosp Golden Triangle,MS,Columbus,1,1,33,6.6,0.8333333333333333,,,,False,False,no_propublica_match,
Baptist Mem Hosp North,MS,Oxford,2,2,89,17.8,0.8733333333333334,,,,False,False,no_propublica_match,
Baptist Mem Med Education,AR,Jonesboro,17,9,465,93.0,0.8852258852258853,,,,False,False,no_propublica_match,
Barnes-Jewish Hosp,MO,St Louis,35,19,1102,220.4,0.9810457516339869,E220,E,Barnes Jewish Hospital,True,True,pslf_eligible_501c3,3.0
Barrow Neurological Inst at SJHMC,AZ,Phoenix,3,2,60,12.0,1.0,,,,False,False,no_propublica_match,
Bassett Med Ctr,NY,Cooperstown,6,3,133,26.6,0.8415637860082305,D60,D,All Bassets Cherished Basset Hound Rescue,False,False,pslf_eligible_501c3,3.0
Baton Rouge Gen Med Ctr,LA,Baton Rouge,2,2,100,20.0,0.95,,,,False,False,pslf_eligible_501c3,3.0
BayCare Health System,FL,Clearwater,11,7,223,44.6,0.9532726045883941,E20,E,Baycare Pasco Inc,False,False,pslf_eligible_501c3,3.0
Bayfront Med Ctr,FL,St Petersburg,2,2,60,12.0,1.0,S200,S,Bayfront Nato Inc,False,False,pslf_eligible_501c3,3.0
Bayhealth Med Ctr,DE,Dover,5,4,137,27.4,0.8151709401709402,E22I,E,Bayhealth Foundation,False,False,pslf_eligible_501c3,3.0
Baylor Coll Med-Houston,TX,Houston,51,23,1560,312.0,0.9600864800068499,X50,X,Kwekabaw Buddhist Society Of Housto Houston Tx,True,False,no_propublica_match,
Baylor S&W All Saints Med Ctr,TX,Fort Worth,7,6,217,43.4,1.0,,,,False,False,no_propublica_match,
Baylor S&W Med Ctr-Round Rock,TX,Round Rock,2,2,52,10.4,0.9270833333333333,,,,False,False,no_propublica_match,
Baylor S&W-Baylor COM Temple,TX,Temple,23,16,585,117.0,0.9779086892488955,,,,False,False,no_propublica_match,
Baylor Scott & White Med Ctr,TX,Temple,2,2,12,2.4,1.0,E21,E,Baylor Scott & White Health,False,False,pslf_eligible_501c3,3.0
Baylor Univ Med Ctr-Dallas,TX,Dallas,15,10,337,67.4,0.9657960199004975,,,,True,False,pslf_eligible_501c3,3.0
Baystate Franklin Med Ctr,MA,Greenfield,1,1,17,3.4,1.0,,,Baystate Franklin Auxiliary,False,False,pslf_eligible_501c3,3.0
Beebe Healthcare,DE,Lewes,1,1,12,2.4,0.8333333333333334,,,Bahais Of Beebe 8253 Beebe,False,False,pslf_eligible_501c3,3.0
Benefis Hospital,MT,Great Falls,1,1,10,2.0,1.0,,,Security Benefit Voluntary Employee Benefits Trust,False,False,pslf_eligible_501c3,3.0
Berkshire Med Ctr,MA,Pittsfield,5,3,133,26.6,0.94,,,Berkshire Free Library,False,False,pslf_eligible_501c3,3.0
Bethesda Hospital,OH,Cincinnati,1,1,35,7.0,1.0,,,,False,False,pslf_eligible_gov,
Billings Clinic,MT,Billings,6,3,162,32.4,0.8472075249853027,E210,E,Billings Clinic,False,False,pslf_eligible_501c3,3.0
Bon Secours Health System,VA,Midlothian,19,12,473,94.6,0.9289583333333333,,,Bon Secours Inc,False,False,pslf_eligible_501c3,3.0
Borinquen Health Care Ctr,FL,Miami,1,1,20,4.0,1.0,,,,False,False,no_propublica_match,
Boston Univ Med Ctr,MA,Boston,29,17,753,150.6,0.9370509607351714,,,,True,False,pslf_eligible_501c3,3.0
Bridgeport Hospital,CT,Bridgeport,6,4,149,29.8,0.9565217391304348,E220,E,Bridgeport Hospital,False,False,pslf_eligible_501c3,3.0
Brigham & Womens Hosp,MA,Boston,6,4,144,28.8,1.0,T21,T,Brigham City Womens Club Afghann Lcc,False,True,pslf_eligible_501c3,3.0
Broadlawns Med Ctr,IA,Des Moines,11,6,261,52.2,0.8725961538461539,E220,E,Broadlawns Medical Center,False,False,pslf_eligible_501c3,3.0
BronxCare Health System,NY,Bronx,5,4,168,33.6,0.9316666666666666,E220,E,Bronxcare Health System,False,False,pslf_eligible_501c3,3.0
Brooklyn Hosp Ctr,NY,Brooklyn,7,6,333,66.6,0.9071355031040629,,,,False,False,pslf_eligible_501c3,3.0
Broward Health Med Ctr,FL,Fort Lauderdale,14,11,472,94.4,0.9571694971694972,F99,F,Broward Behavorial Health Coalition Inc,False,False,pslf_eligible_501c3,3.0
Brown Univ/Butler Hospital,RI,Providence,29,17,1006,201.2,0.9707379134860051,,,,True,False,no_propublica_match,
Bryn Mawr Hospital,PA,Bryn Mawr,2,1,31,6.2,0.8571428571428571,B420,B,Bryn Mawr College,True,False,pslf_eligible_501c3,3.0
Burke Rehabilitation Hosp,NY,White Plains,2,1,36,7.2,1.0,E20,E,Burke Rehabilitation Hospital,False,False,pslf_eligible_501c3,3.0
Butler Memorial Hospital,PA,Butler,1,1,4,0.8,1.0,T22Z,T,Huddleston Butler Memorial Foundation,False,False,pslf_eligible_501c3,3.0
CHI St Vincent Hot Springs,AR,Hot Springs,1,1,42,8.4,0.8833333333333332,E21,E,Chi St Vincent Hot Springs,False,False,pslf_eligible_501c3,3.0
CHRISTUS Health,TX,Irving,4,3,230,46.0,0.8954887218045112,E210,E,Christus Health,False,False,pslf_eligible_501c3,3.0
CMSRU/Cooper University Hospital,NJ,Camden,23,17,491,98.2,0.9613861386138614,,,,True,True,no_propublica_match,
Cambridge Health Alliance,MA,Cambridge,4,4,155,31.0,1.0,E11,E,Cambridge Health Alliance Foundation Inc,False,False,pslf_eligible_501c3,3.0
Campbell University,NC,Lillington,18,8,677,135.4,0.7114889795612687,B430,B,Campbell University,True,True,pslf_eligible_501c3,3.0
Canton Med Ed Fdn/NEOMED,OH,Canton,1,1,65,13.0,1.0,,,,False,False,no_propublica_match,
Cape Fear Valley Health,NC,Fayetteville,6,6,64,12.8,0.8270944741532977,B11,B,Methodist University Cape Fear Valley Health School Of Medicine I,True,False,pslf_eligible_501c3,3.0
Capital Health Reg Med Ctr,NJ,Trenton,5,5,220,44.0,0.901923076923077,,,,False,False,no_propublica_match,
CarePoint Health,NJ,Hoboken,5,4,159,31.8,0.707093253968254,E32,E,Carepoint Health Foundation Inc,False,False,pslf_eligible_501c3,3.0
Carle Foundation Hosp,IL,Urbana,12,7,170,34.0,0.874113475177305,E210,E,The Carle Foundation,False,False,pslf_eligible_501c3,3.0
Carolinas Med Ctr,NC,Charlotte,17,11,455,91.0,0.9523809523809523,N70,N,Conference Carolinas,False,False,pslf_eligible_501c3,3.0
Casa Colina Hosp,CA,Pomona,1,1,15,3.0,1.0,F020,F,Casa Colina Inc,False,False,pslf_eligible_501c3,3.0
Case Western/Univ Hosps Cleveland Med Ctr,OH,Cleveland,45,21,998,199.6,0.9717200251098556,,,,True,False,no_propublica_match,
Cayuga Med Ctr,NY,Ithaca,2,1,50,10.0,1.0,N63,N,Cayuga Ball League,False,False,pslf_eligible_501c3,3.0
Cedars-Sinai Med Ctr,CA,West Hollywood,20,13,472,94.4,0.9677777777777777,E220,E,Cedars Sinai Medical Center,False,True,pslf_eligible_501c3,3.0
Center for Family Medicine,SD,Sioux Falls,2,1,55,11.0,0.8666666666666666,B54Z,B,Center For Family Medicine,True,False,pslf_eligible_501c3,3.0
Centerstone,FL,Bradenton,1,1,23,4.6,1.0,L21,L,Centerstone Unlimited Centerstone,False,False,pslf_eligible_501c3,3.0
Centro Medico Menonita Cayey,PR,Cayey,2,2,14,2.8,1.0,,,,False,False,no_propublica_match,
Charles R Drew University,CA,Los Angeles,4,4,114,22.8,0.984375,,,,True,False,no_propublica_match,
Charleston Area Med Ctr,WV,Charleston,15,11,284,56.8,0.8335137085137084,,,Charleston Area Ceos,False,False,pslf_eligible_501c3,3.0
Cheshire Med Ctr/Dartmouth Health,NH,Keene,1,1,12,2.4,0.8333333333333334,,,,False,False,no_propublica_match,
Childrens Hosp-Philadelphia,PA,Philadelphia,9,3,279,55.8,0.9540229885057472,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-Boston,MA,Boston,10,4,284,56.8,0.975609756097561,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-LA,CA,Los Angeles,3,2,193,38.6,0.9930555555555555,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-Oakland,CA,Oakland,2,1,148,29.6,0.9764635603345282,,,,False,False,pslf_eligible_501c3,3.0
Childrens Mercy Hospital,MO,Kansas City,3,2,153,30.6,0.8944444444444444,E240,E,Childrens Mercy Hospital,False,False,pslf_eligible_501c3,3.0
Childrens National Med Ctr,DC,Washington,11,4,209,41.8,0.9705882352941176,,,National Childrens Museum,False,False,pslf_eligible_501c3,3.0
Christ Hospital,OH,Cincinnati,3,2,134,26.8,0.9103030303030303,X20,X,Christ Life Church Corpus Christi,False,False,pslf_eligible_501c3,3.0
Christiana Care,DE,Newark,12,9,345,69.0,0.9821428571428571,E90Z,E,Christian Care,False,False,pslf_eligible_501c3,3.0
Cincinnati Childrens Hosp Med Ctr,OH,Cincinnati,5,3,263,52.6,0.9047619047619048,A65Z,A,Childrens Theatre Of Cincinnati,False,False,pslf_eligible_501c3,3.0
Citrus Health Network,FL,Hialeah,11,6,211,42.2,0.9677871148459383,,,Citrus Health Network Inc,False,False,pslf_eligible_501c3,3.0
City Of Hope,CA,Duarte,1,1,7,1.4,1.0,P60,P,City Of Hope City Of Hope,False,False,pslf_eligible_501c3,3.0
Clarion Hospital,PA,Clarion,2,2,36,7.2,0.3333333333333333,E220,E,Clarion Hospital,False,False,pslf_eligible_501c3,3.0
Clarkson Family Med Res,NE,Omaha,1,1,29,5.8,0.7666666666666666,,,,False,False,no_propublica_match,
Cleveland Clinic Fdn,OH,Cleveland,36,21,1115,223.0,0.9798368298368298,,,,False,True,no_propublica_match,
Clinica Sierra Vista,CA,Bakersfield,1,1,40,8.0,1.0,E320,E,Clinica Sierra Vista,False,False,pslf_eligible_501c3,3.0
College Med Ctr,CA,Long Beach,1,1,20,4.0,0.4,B80,B,Malcolm Bernard Historically Black Colleges & Univ College Fair Mb Hbcu College Fair Of Nj,True,False,pslf_eligible_501c3,3.0
Colquitt Regional Med Ctr,GA,Moultrie,2,2,32,6.4,0.8888888888888888,,,Colquitt Regional Health Inc,False,False,pslf_eligible_501c3,3.0
Common Spirit Health Mountain Region,CO,Centennial,5,2,61,12.2,1.0,,,,False,False,no_propublica_match,
Community Health Care,WA,Tacoma,1,1,38,7.6,0.675,E20,E,Unity Health,False,False,pslf_eligible_501c3,3.0
Community Health Network,IN,Indianapolis,3,2,95,19.0,0.9666666666666667,P50,P,Inspiring Hearts Community Health Network,False,False,pslf_eligible_501c3,3.0
Community Healthcare Network,NY,New York,1,1,12,2.4,1.0,E20,E,Unity Health,False,False,pslf_eligible_501c3,3.0
Community Mem Health Sys,CA,Ventura,5,5,133,26.6,0.98,Q33,Q,Community2 Community C2 C,False,False,no_propublica_match,
Concord Hospital,NH,Concord,1,1,40,8.0,1.0,A680,A,Concord Community Concert Association,False,False,pslf_eligible_501c3,3.0
Cone Health,NC,Greensboro,5,3,114,22.8,0.9738612836438925,,,Cone Health Philanthropic Foundation,False,False,pslf_eligible_501c3,3.0
Conemaugh Memorial Med Ctr,PA,Johnstown,6,4,150,30.0,0.9722222222222222,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,no_propublica_match,
Coney Island Hospital,NY,Brooklyn,1,1,6,1.2,1.0,A6GZ,A,Coney Island Usa,False,False,pslf_eligible_501c3,3.0
Conroe Reg Med Ctr,TX,Conroe,1,1,58,11.6,0.95,,,,False,False,no_propublica_match,
Contra Costa Reg Med Ctr,CA,Martinez,1,1,65,13.0,1.0,,,,False,False,no_propublica_match,
Conway Reg Health Sys,AR,Conway,3,2,47,9.4,0.9583333333333334,,,,False,False,no_propublica_match,
Cook County Health and Hosps Sys,IL,Chicago,11,8,491,98.2,0.9748062015503876,,,,False,False,no_propublica_match,
Corewell Health,MI,Southfield,43,20,1115,223.0,0.962186565447435,E21,E,Corewell Health,False,False,pslf_eligible_501c3,3.0
Corewell Health Lakeland,MI,Saint Joseph,3,3,113,22.6,0.862037037037037,E21,E,Corewell Health Lakeland Health Foundation Benton,False,False,pslf_eligible_501c3,3.0
Corewell Health-Grand Rapids/MSU,MI,Grand Rapids,18,16,509,101.8,0.9257399577167018,E21,E,Corewell Health,False,False,no_propublica_match,
Cornerstone Care THC,PA,Mount Morris,2,2,23,4.6,0.7785714285714286,,,,False,False,no_propublica_match,
CoxHealth,MO,Springfield,2,1,51,10.2,1.0,E20,E,Coxhealth,False,False,pslf_eligible_501c3,3.0
Creedmoor Psych Ctr,NY,Queens Village,1,1,20,4.0,1.0,,,Civil Service Employees Association Csea Local 0406 Creedmoor Psych Ctr,False,False,pslf_unclear_other_subsec,
Creighton Univ Affil Hosps,AZ,Omaha,4,1,19,3.8,0.8333333333333334,,,,True,False,no_propublica_match,
Creighton University,AZ,Phoenix,24,9,781,156.2,0.9270597127739985,B430,B,Creighton University,True,True,pslf_eligible_501c3,3.0
Crozer-Chester Med Ctr,PA,Upland,7,7,235,47.0,0.9041208791208791,E20,E,Crozer Chester Medical Center,False,False,pslf_eligible_501c3,3.0
Damas Hospital,PR,Ponce,2,2,95,19.0,1.0,A20,A,Las Damas,False,False,pslf_eligible_501c3,3.0
Danbury Hospital,CT,Danbury,10,8,180,36.0,0.8125,E220,E,Danbury Hospital,False,False,pslf_eligible_501c3,3.0
Dartmouth-Hitchcock Med Ctr,NH,Lebanon,27,18,480,96.0,0.951271186440678,E320,E,Dartmouth Hitchcock Clinic,False,False,pslf_eligible_501c3,3.0
DePaul Community Health Ctr,LA,New Orleans,1,1,4,0.8,0.5,E20,E,Unity Health,False,False,no_propublica_match,
DeTar Healthcare System,TX,Victoria,1,1,40,8.0,0.85,,,,False,False,no_propublica_match,
Deaconess Hospital,IN,Evansville,1,1,40,8.0,0.825,X99,X,Massachusetts Baptist Deacons & Deaconess Association,False,False,pslf_eligible_501c3,3.0
Delaware Valley Community Health,PA,Philadelphia,1,1,8,1.6,1.0,,,Delaware Valley Community Health Inc,False,False,pslf_eligible_501c3,3.0
Denver Community Hlth Svcs,CO,Denver,1,1,8,1.6,1.0,Q33,Q,Community2 Community C2 C,False,False,no_propublica_match,
Denver Health Med Ctr,CO,Denver,1,1,84,16.8,1.0,P20,P,Healthy Denver Inc Healthy Denver Festival,False,False,pslf_eligible_501c3,3.0
Desert Regional Med Ctr,CA,Palm Springs,6,6,132,26.4,0.9151515151515152,S41,S,Desert Regional Tourism Agency,False,False,pslf_eligible_501c3,3.0
Detroit Med Ctr/WSU,MI,Detroit,28,17,1062,212.4,0.8934825420481158,,,,False,False,no_propublica_match,
Dignity East Valley,AZ,Chandler,7,5,95,19.0,0.8425925925925926,E11,E,Dignity Health Foundation East Valley,False,False,pslf_eligible_501c3,3.0
Dignity Methodist Hosp-Sacramento,CA,Sacramento,2,1,46,9.2,0.96875,,,,False,False,no_propublica_match,
Dignity Northridge Hosp Med Ctr,CA,Northridge,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Dignity St Rose Dominican Hosps,NV,Henderson,2,1,36,7.2,0.75,,,,False,False,no_propublica_match,
Doctors Hospital at Renaissance,TX,Edinburg,7,7,66,13.2,1.0,,,,False,False,no_propublica_match,
Doylestown Hospital,PA,Doylestown,2,2,40,8.0,1.0,,,Doylestown Cemetery,False,False,pslf_eligible_501c3,3.0
Driscoll Childrens Hosp,TX,Corpus Christi,1,1,84,16.8,1.0,E240,E,Driscoll Childrens Hospital Driscoll Health System,False,False,pslf_eligible_501c3,3.0
Duke Univ Med Ctr,NC,Durham,42,22,1040,208.0,0.9548022598870056,,,,True,True,pslf_eligible_501c3,3.0
ECU Health Med Ctr,NC,Greenville,18,11,520,104.0,0.918942436412316,E00L,E,Ecu Health Care Inc,False,False,pslf_eligible_501c3,3.0
EVMS Old Dominion University,VA,Norfolk,18,13,550,110.0,0.9524196042053185,,,,True,True,no_propublica_match,
East Jefferson Gen Hosp,LA,Metairie,1,1,30,6.0,0.6,,,,True,False,pslf_eligible_501c3,3.0
East Liverpool City Hosp,OH,East Liverpool,2,2,46,9.2,0.8800000000000001,,,East Liverpool City Hospital Auxiliary Incorporated,False,False,pslf_eligible_501c3,3.0
Eisenhower Med Ctr,CA,Rancho Mirage,3,3,202,40.4,0.9722222222222222,,,Eisenhower Foundation,False,False,pslf_eligible_501c3,3.0
El Rio Health,AZ,Tucson,2,2,8,1.6,0.625,T30Z,T,El Rio Health Center Foundation Inc,False,False,pslf_eligible_501c3,3.0
Ellis Hospital,NY,Schenectady,1,1,50,10.0,0.9199999999999999,H98,H,Ellise Ellie Helene Brown Foundation Inc,False,False,pslf_eligible_501c3,3.0
Elson S Floyd COM WSU,WA,Spokane,4,3,99,19.8,0.9555555555555556,S9,S,Floyd Future,False,False,no_propublica_match,
Emanate Health,CA,West Covina,1,1,40,8.0,0.975,E210,E,Emanate Health,False,False,pslf_eligible_501c3,3.0
Emory Univ SOM,GA,Atlanta,50,25,1357,271.4,0.9735863095238094,,,,True,True,pslf_eligible_501c3,3.0
Englewood Hosp,NJ,Englewood,3,1,80,16.0,0.9722222222222222,,,Act Englewood,False,False,pslf_eligible_501c3,3.0
Excela Health Latrobe Hosp,PA,Latrobe,1,1,40,8.0,0.875,E220,E,Excela Health Latrobe Area Hospital Inc,False,False,pslf_eligible_501c3,3.0
FAU-Schmidt COM,FL,Boca Raton,29,9,679,135.8,0.8740248226950355,,,,False,False,no_propublica_match,
Fairfield Med Ctr,OH,Lancaster,2,2,41,8.2,0.645,,,Fairfield Fairfield,False,False,pslf_eligible_501c3,3.0
Family Health Ctrs at NYU Langone,NY,Brooklyn,3,2,60,12.0,1.0,,,,True,True,no_propublica_match,
Family Health Ctrs of San Diego,CA,San Diego,2,2,42,8.4,1.0,,,,False,False,no_propublica_match,
Firelands Regional Med Ctr,OH,Sandusky,2,2,40,8.0,0.8,E220,E,Firelands Regional Medical Center,False,False,pslf_eligible_501c3,3.0
Floyd Med Ctr,GA,Rome,2,1,43,8.6,0.8888888888888888,S9,S,Floyd Future,False,False,pslf_eligible_501c3,3.0
Flushing Hospital Med Ctr,NY,Flushing,6,4,209,41.8,0.9500336700336701,,,Flushing Cemetery Association,False,False,pslf_eligible_501c3,3.0
Forbes Family Medicine,PA,Monroeville,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Forrest General Hospital,MS,Hattiesburg,1,1,34,6.8,0.875,E11,E,Forrest General Healthcarefoundation Inc,False,False,pslf_eligible_501c3,3.0
Franciscan Health,IN,Indianapolis,1,1,45,9.0,1.0,E200,E,Franciscan Health System,False,False,pslf_eligible_501c3,3.0
Franciscan Health Olympia Fields,IL,Olympia Fields,5,5,161,32.2,0.9583333333333334,,,Franciscan Health Olympia Fields,False,False,pslf_eligible_501c3,3.0
Ft Wayne Med Ed Prog,IN,Fort Wayne,52,25,1647,329.4,0.946405686824189,,,,False,False,no_propublica_match,
Full Circle Health,ID,Boise,8,2,178,35.6,0.9467592592592593,E20,E,Full Circle Health Inc,False,False,pslf_eligible_501c3,3.0
Garden City Hospital,MI,Garden City,8,8,126,25.2,0.8128030303030302,,,Garden City,False,False,pslf_eligible_501c3,3.0
Garnet Health Med Ctr,NY,Middletown,7,7,200,40.0,0.8493112947658402,E80Z,E,Garnet Health,False,False,pslf_eligible_501c3,3.0
Gateway Behavioral Hlth Comm Svc,GA,Savannah,1,1,37,7.4,1.0,,,,False,False,no_propublica_match,
Geisinger Health System,PA,Danville,30,22,678,135.6,0.9433263937080731,E30,E,Geisinger Clinic,False,False,pslf_eligible_501c3,3.0
Genesis Quad Cities,IA,Davenport,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
George Washington Univ,DC,Washington,26,14,515,103.0,0.9983974358974359,A11,A,Emanuel A Beck Charitable Tr Fbo Weta Tv And George Washington Univ Sandy Spring National Bank Ttee,True,False,pslf_eligible_501c3,3.0
Good Samaritan Hosp Med Ctr,NY,West Islip,1,1,2,0.4,0.0,X21,X,Good Samaritan,False,False,pslf_eligible_501c3,3.0
Good Samaritan Hosp-Cinn,OH,Cincinnati,5,4,121,24.2,0.88,X21,X,Good Samaritan,False,False,pslf_eligible_501c3,3.0
Good Samaritan Univ Hosp,NY,West Islip,9,7,170,34.0,0.9631944444444445,X21,X,Good Samaritan,True,False,pslf_eligible_501c3,3.0
Gracelight Community Health,CA,Los Angeles,1,1,4,0.8,1.0,,,Gracelight Community Health,False,False,pslf_eligible_501c3,3.0
Grand Strand Reg Med Ctr,SC,Myrtle Beach,7,6,264,52.8,0.868693134822167,,,,False,False,no_propublica_match,
Greater Baltimore Med Ctr,MD,Baltimore,3,1,83,16.6,0.975,J03,J,Greater Baltimore Ashi,False,False,pslf_eligible_501c3,3.0
Greenbrier Valley Med Ctr,WV,Ronceverte,2,2,7,1.4,0.625,,,Greenbrier Valley,False,False,pslf_eligible_501c3,3.0
Greenwich Hospital,CT,Greenwich,2,1,65,13.0,1.0,E220,E,Greenwich Hospital,False,False,pslf_eligible_501c3,3.0
Griffin Hospital,CT,Derby,5,3,84,16.8,1.0,,,Trinity Griffin,False,False,pslf_eligible_501c3,3.0
Griffin Memorial Hospital,OK,Norman,1,1,18,3.6,1.0,B82,B,Daniel J Griffin Memorial,True,False,pslf_eligible_501c3,3.0
Grtr Lawrence Fam Hlth Ctr,MA,Lawrence,3,2,73,14.6,0.9924242424242423,,,,False,False,no_propublica_match,
Gundersen Lutheran Med Fdn,WI,La Crosse,4,4,149,29.8,0.9875,,,,False,False,no_propublica_match,
Guthrie/Robert Packer Hosp,PA,Sayre,9,6,190,38.0,0.9004629629629629,,,Donald & Emily Guthrie Fdn Fbo The Robert Packer Hospital,False,False,pslf_eligible_501c3,3.0
HCA Chippenham & Johnston-Willis Hosps,VA,Richmond,1,1,3,0.6,1.0,,,,False,False,pslf_ineligible_for_profit,
HCA Corpus Christi Med Ctr,TX,Corpus Christi,2,2,37,7.4,0.6916666666666667,X20,X,Christ Life Church Corpus Christi,False,False,pslf_ineligible_for_profit,
HCA Florida JFK Hosp-U Miami,FL,Atlantis,45,14,1259,251.8,0.8181369476200866,W30,W,U S Coast Guard Miami Chapter Cpoa,False,False,pslf_ineligible_for_profit,
HCA Healthcare Kansas City,MO,Overland Park,56,20,1310,262.0,0.9528832630098454,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare LGH-Montgomery/VCOM,VA,Blacksburg,5,4,95,19.0,0.5895238095238095,,,Virginia Coalition Of Police And Deputy Sheriffs Vcop International,False,False,pslf_ineligible_for_profit,
HCA Healthcare/JFK Med Center-UMiami,FL,Atlantis,1,1,2,0.4,1.0,D20,D,Umigomi Enrichment Project Corporation,False,False,pslf_ineligible_for_profit,
HCA Healthcare/TriStar Nashville,TN,Brentwood,10,7,214,42.8,0.8175595238095238,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/TriStar Southern Hills,TN,Nashville,1,1,25,5.0,0.6527777777777778,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Blake,FL,Bradenton,5,3,201,40.2,0.6522921522921523,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Brandon,FL,Brandon,7,6,292,58.4,0.7428571428571429,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Citrus,FL,Inverness,3,2,123,24.6,0.21439393939393936,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Largo,FL,Largo,6,5,184,36.8,0.9260817282556413,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Oak Hill,FL,Brooksville,9,5,274,54.8,0.5509333466907099,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Sarasota,FL,Sarasota,1,1,24,4.8,0.375,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-St Pete,FL,,2,2,64,12.8,0.7958333333333333,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani GME-Trinity,FL,Trinity,6,3,172,34.4,0.6711988304093568,N65,N,Trinity Ppal,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani-Bayonet Pt,FL,Hudson,5,3,189,37.8,0.5389986824769434,,,,False,False,pslf_ineligible_for_profit,
HCA Healthcare/USF Morsani-Northside,FL,St Petersburg,1,1,42,8.4,0.76,,,,False,False,pslf_ineligible_for_profit,
HCA Houston Healthcare/U Houston,TX,Houston,9,6,389,77.8,0.8147063688999172,X20,X,U S Full Gospel Mission Houston Tx City Of Harvest And Refuge,False,False,pslf_ineligible_for_profit,
HCA Las Palmas del Sol Healthcare,TX,El Paso,3,3,141,28.2,0.7456607495069034,,,,False,False,pslf_ineligible_for_profit,
HCA Medical City Healthcare,TX,Dallas,13,8,498,99.6,0.769281045751634,,,,False,False,pslf_ineligible_for_profit,
HMH-Palisades Med Ctr,NJ,North Bergen,8,5,204,40.8,0.9558823529411765,,,,False,False,no_propublica_match,
Hackensack U Med Ctr,NJ,Hackensack,19,8,252,50.4,0.9648351648351648,,,,False,False,pslf_eligible_501c3,3.0
Halifax Med Ctr,FL,Daytona Beach,1,1,40,8.0,0.875,M24,M,Halifax Fire Department,False,False,pslf_eligible_501c3,3.0
Hamilton Med Ctr,GA,Dalton,2,2,94,18.8,1.0,J22,J,Hype Hamilton,False,False,pslf_eligible_501c3,3.0
Harbor-UCLA Med Ctr,CA,Torrance,22,14,641,128.2,0.9473400673400674,E220,E,Harbor Ucla Medical Foundation Inc,False,True,pslf_eligible_501c3,3.0
Harlem Hospital Ctr,NY,New York,6,5,261,52.2,0.9285714285714286,,,,False,False,no_propublica_match,
Harrison Med Ctr,WA,Bremerton,1,1,16,3.2,1.0,A23,A,Crc Harrison,False,False,pslf_eligible_501c3,3.0
