institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
U Rochester/Strong Memorial,NY,Rochester,39,24,901,180.2,0.9659451659451659,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,no_propublica_match,
U Washington Boise,ID,Boise,3,2,94,18.8,1.0,,,,True,False,no_propublica_match,
U Washington Soldotna,AK,Soldotna,1,1,4,0.8,1.0,,,,True,False,no_propublica_match,
UAB Selma Fam Med Res,AL,Selma,1,1,27,5.4,1.0,,,,False,False,no_propublica_match,
UAMS Regional Centers,AR,Fayetteville,9,2,284,56.8,0.7814327485380117,,,,False,False,no_propublica_match,
UC Davis Med Ctr,CA,Sacramento,34,23,828,165.6,0.9849673202614379,E03,E,Uc Davis Surgical Association,True,False,pslf_eligible_501c3,3.0
UC Irvine Med Ctr,CA,Orange,33,21,919,183.8,0.9550787683494449,N12,N,Friends Of Uc Irvine Rowing,True,False,pslf_eligible_501c3,3.0
UC Riverside SOM,CA,Riverside,5,3,175,35.0,0.9,,,,False,False,no_propublica_match,
UC San Diego Med Ctr,CA,San Diego,43,23,858,171.6,0.9764254385964911,A25,A,Tamashasd At Uc San Diego,True,True,pslf_eligible_501c3,3.0
UC San Francisco,CA,San Francisco,43,22,1357,271.4,0.9757719179625873,,,,True,False,no_propublica_match,
UC San Francisco-East Bay,CA,Oakland,2,1,80,16.0,0.6888888888888889,,,,True,False,no_propublica_match,
UC San Francisco-Fresno,CA,Fresno,8,8,365,73.0,0.9663690476190476,,,,True,False,no_propublica_match,
UCLA Med Ctr,CA,Los Angeles,34,22,1148,229.6,0.9211409395973155,B80,B,Ucla Asme,True,True,pslf_eligible_501c3,3.0
UCLA Semel Inst for Neuroscience,CA,Los Angeles,9,3,183,36.6,0.9416666666666667,B80,B,Ucla Asme,True,True,no_propublica_match,
UHS-Wilson Med Ctr,NY,Johnson City,5,3,139,27.8,0.9607843137254901,,,,False,False,no_propublica_match,
UIC/Metro Group Hospitals,IL,Chicago,2,1,11,2.2,1.0,,,,False,False,no_propublica_match,
UIC/Mt Sinai Hosp Med Ctr,IL,Chicago,2,1,27,5.4,0.55,,,Mt Sinai,False,False,no_propublica_match,
UMass Chan - Baystate,MA,Springfield,15,10,431,86.2,0.9777777777777779,,,,False,False,no_propublica_match,
UMass Chan Medical School,MA,Worcester,35,20,803,160.6,0.9990347490347491,T22,T,Umass Chan Medical School Foundation Inc,True,False,pslf_eligible_501c3,3.0
UNC Health Blue Ridge,NC,Morganton,1,1,43,8.6,0.9555555555555555,,,,False,False,no_propublica_match,
UP Health System-Marquette,MI,Marquette,1,1,30,6.0,0.6666666666666667,,,,False,False,pslf_eligible_501c3,3.0
UPMC Altoona Hospital,PA,Altoona,2,2,60,12.0,1.0,,,Medical Staff Of Upmc Of Altoona,True,False,pslf_eligible_501c3,3.0
UPMC Hamot Med Ctr,PA,Erie,4,4,63,12.6,0.8666666666666666,,,Upmc Hamot Aid Society,True,False,pslf_eligible_501c3,3.0
UPMC Harrisburg,PA,Harrisburg,10,6,235,47.0,0.8729166666666666,,,,True,False,no_propublica_match,
UPMC Lititz,PA,Lititz,3,3,41,8.2,0.7976190476190476,E220,E,Upmc Upmc Lititz,True,False,pslf_eligible_501c3,3.0
UPMC McKeesport,PA,Mckeesport,2,2,86,17.2,1.0,E99,E,Upmc Mckeesport Medical Staff Fund,True,False,pslf_eligible_501c3,3.0
UPMC Medical Education,PA,Pittsburgh,56,25,1310,262.0,0.9876950780312125,,,Upmc Upmc Medical Education,True,False,pslf_eligible_501c3,3.0
UPMC Mercy Hospital,PA,Pittsburgh,3,2,150,30.0,0.8133333333333332,T20,T,Raymond Frodey Tw Fbo Upmc Health Upmc Mercy,True,False,pslf_eligible_501c3,3.0
UPMC Presbyterian Shadyside,PA,Pittsburgh,2,1,53,10.6,1.0,,,Upmc Upmc Presbyterian Shadyside,True,False,pslf_eligible_501c3,3.0
UPMC St Margaret,PA,Pittsburgh,1,1,65,13.0,1.0,,,Upmc Upmc St Margaret,True,False,pslf_eligible_501c3,3.0
UPMC Washington Hospital,PA,Washington,1,1,38,7.6,0.6071428571428571,E220,E,Upmc Washington,True,False,pslf_eligible_501c3,3.0
UPMC Williamsport,PA,Williamsport,3,1,25,5.0,0.8367346938775511,E220,E,Upmc Upmc Williamsport,True,False,pslf_eligible_501c3,3.0
UT Ascension St Thomas,TN,Nashville,8,5,163,32.6,0.9015151515151515,X20,X,St Thomas Mar Thoma Congregation Houston,True,False,no_propublica_match,
UVM Health Network CVPH,NY,Plattsburgh,1,1,30,6.0,0.7,,,,False,False,no_propublica_match,
Union Hospital,IN,Terre Haute,1,1,35,7.0,0.8857142857142858,,,Unison Credit Union,False,False,pslf_eligible_501c3,3.0
United Hospital Ctr,WV,Bridgeport,38,20,668,133.6,0.9295662100456621,,,,False,False,pslf_eligible_501c3,3.0
Unity Health,AR,Searcy,5,5,193,38.6,0.5907253626003626,E20,E,Unity Health,False,False,pslf_eligible_501c3,3.0
UnityPoint Broadlawns,IA,Des Moines,1,1,21,4.2,1.0,B50,B,Unitypoint Broadlawns Psychiatry Education Foundation,True,False,pslf_eligible_501c3,3.0
Univ Central del Caribe SOM,PR,Bayamon,24,19,612,122.4,0.8947063601081459,,,,True,False,no_propublica_match,
Univ Hosps Community Consortium,OH,Westlake,9,5,234,46.8,0.871577380952381,Q33,Q,Community2 Community C2 C,True,False,no_propublica_match,
Univ of Chicago Med Ctr,IL,Chicago,40,21,1099,219.8,0.9869477911646587,,,,True,False,pslf_eligible_501c3,3.0
University Hosps-Columbia,MO,Columbia,26,19,675,135.0,0.9075338687941994,,,,True,True,no_propublica_match,
University Hosps-Jackson,MS,Jackson,34,21,792,158.4,0.8969594594594594,,,,True,True,no_propublica_match,
University at Buffalo SOM,NY,Buffalo,33,18,912,182.4,0.9685457516339869,,,,True,True,no_propublica_match,
University of Toledo,OH,Toledo,20,13,444,88.8,0.9255747126436782,,,University Of Toledo,True,True,pslf_eligible_501c3,3.0
VA Greater LA Hlth Sys,CA,Los Angeles,2,2,66,13.2,1.0,,,,False,False,no_propublica_match,
VCU-Shenandoah Valley,VA,Front Royal,39,22,913,182.6,0.9462048832271762,T50,T,Value Valley Nonprofit Corporation,False,False,no_propublica_match,
Valley Baptist Med Ctr,TX,Harlingen,1,1,5,1.0,1.0,,,Valley Baptist Holdings,False,False,pslf_eligible_501c3,3.0
Valley Childrens Healthcare,CA,Madera,1,1,68,13.6,0.9571428571428571,E240,E,Valley Childrens Hospital,False,False,pslf_eligible_501c3,3.0
Valley Consortium,CA,Modesto,2,2,67,13.4,0.95,B70A,B,Valley Library Consortium Inc,True,False,pslf_eligible_501c3,3.0
Valley Health System,NV,Las Vegas,7,6,224,44.8,0.7645384615384616,T50,T,Value Valley Nonprofit Corporation,False,False,pslf_eligible_501c3,3.0
Valley Health Team,CA,San Joaquin,1,1,20,4.0,0.95,E30Z,E,Valley Health Team Inc San Joaquin Health Center,False,False,pslf_eligible_501c3,3.0
Valley Hosp Med Ctr,NV,Las Vegas,4,4,121,24.2,0.7345833333333334,T50,T,Value Valley Nonprofit Corporation,False,False,pslf_eligible_501c3,3.0
Valley Med Ctr,WA,Renton,1,1,40,8.0,0.95,T50,T,Value Valley Nonprofit Corporation,False,False,pslf_eligible_501c3,3.0
Vanderbilt Univ Med Ctr,TN,Nashville,36,21,1162,232.4,0.9537701476013164,,,,True,True,pslf_eligible_501c3,3.0
Ventura County Med Ctr,CA,Ventura,1,1,75,15.0,1.0,,,Nami Ventura County,False,False,pslf_eligible_501c3,3.0
Virginia Mason Franciscan Health,WA,Seattle,13,6,278,55.6,0.9887005649717514,E21,E,Virginia Mason Franciscan Health,False,False,pslf_eligible_501c3,3.0
Virtua Health,NJ,Voorhees,8,6,174,34.8,0.7916666666666667,E220,E,Virtua Health Inc,False,False,pslf_eligible_501c3,3.0
Waco Family Medicine Institute,TX,Waco,1,1,60,12.0,1.0,,,,False,False,no_propublica_match,
Waianae Coast Comprehensive Health,HI,Waianae,4,3,95,19.0,0.6261904761904761,,,,False,False,no_propublica_match,
Wake Forest Baptist Med Ctr,NC,Winston Salem,24,20,802,160.4,0.9218785430839002,X20,X,Wake Forest Baptist Church,False,False,pslf_eligible_501c3,3.0
WakeMed Health and Hospitals,NC,Raleigh,1,1,27,5.4,1.0,,,,False,False,no_propublica_match,
Waterbury Hospital,CT,Waterbury,2,1,20,4.0,0.95,,,Pflag Waterbury,False,False,pslf_eligible_501c3,3.0
Wayne State University SOM,MI,Detroit,28,13,588,117.6,0.862396694214876,,,,True,True,pslf_eligible_501c3,3.0
Weiss Memorial Hospital,IL,Chicago,1,1,40,8.0,0.975,A50I,A,Weiss Memorial Foundation Tr Weiss Herbert Ttee,False,False,pslf_eligible_501c3,3.0
WellStar Health System,GA,Marietta,12,7,377,75.4,0.9625246548323472,T30,T,Wellstar Foundation Inc,False,False,pslf_eligible_501c3,3.0
Wellington Reg Med Ctr,FL,Wellington,1,1,32,6.4,1.0,,,,False,False,no_propublica_match,
Wellmont Health System,VA,Big Stone Gap,4,2,120,24.0,0.8099415204678363,E210,E,Wellmont Health System,False,False,pslf_eligible_501c3,3.0
Wellspan Health Chambersburg Hosp,PA,York,1,1,6,1.2,1.0,,,,False,False,no_propublica_match,
Wellspan Health Good Sam Hosp,PA,York,1,1,35,7.0,1.0,,,,False,False,no_propublica_match,
Wellspan Health York Hosp,PA,York,9,7,268,53.6,0.9690431519699813,,,,False,False,no_propublica_match,
Wellstar Spalding Reg Hosp,GA,Griffin,1,1,20,4.0,0.8,T30,T,Wellstar Foundation Inc,False,False,no_propublica_match,
West Kendall Baptist Hospital,FL,Miami,1,1,8,1.6,1.0,E20,E,West Kendall Baptist Hospital Inc,False,False,pslf_eligible_501c3,3.0
West Suburban Med Ctr,IL,Oak Park,3,2,54,10.8,0.5222222222222223,W24,W,West Suburban Patriots,False,False,pslf_eligible_501c3,3.0
Westchester Medical Ctr,NY,Valhalla,26,13,492,98.4,0.9434782608695652,,,,False,False,no_propublica_match,
Western Reserve Health Ed/NEOMED,OH,Warren,5,3,103,20.6,0.8650793650793651,B250,B,Western Reserve Academy,True,False,no_propublica_match,
Western Reserve Hosp,OH,Cuyahoga Falls,6,5,61,12.2,0.9,B250,B,Western Reserve Academy,True,False,pslf_eligible_501c3,3.0
Wheeling Hospital,WV,Wheeling,1,1,35,7.0,0.8366666666666667,,,Bahais Of Wheeling 3151 Wheeling,False,False,pslf_eligible_501c3,3.0
White River Health System,AR,Batesville,1,1,40,8.0,0.9,,,White River,False,False,pslf_eligible_501c3,3.0
