state,year,n,mean_polarity,sd_polarity,pct_negative
IN,2023,43,0.10357,0.17863,6.97674
IN,2024,57,0.07451,0.10150,8.77193
IN,2025,98,0.07278,0.14568,8.16327
KS,2018,7,0.06285,0.08654,14.28571
KS,2019,2,0.12808,0.04560,0.00000
KS,2020,2,0.08236,0.03338,0.00000
KS,2021,1,0.14898,,0.00000
KS,2022,17,0.07956,0.07673,5.88235
KS,2023,5,0.09938,0.14258,20.00000
KS,2024,19,0.11619,0.16505,5.26316
KS,2025,7,0.14185,0.06765,0.00000
KY,2018,2,0.08845,0.05196,0.00000
KY,2019,3,0.05384,0.02147,0.00000
KY,2020,2,-0.00060,0.04820,0.00000
KY,2021,2,0.08255,0.07633,0.00000
KY,2022,4,0.12739,0.05732,0.00000
KY,2023,6,0.11359,0.06545,0.00000
KY,2024,3,0.11925,0.02691,0.00000
KY,2025,14,0.04506,0.15111,21.42857
LA,2018,5,0.05852,0.08843,20.00000
LA,2019,6,0.08811,0.07751,0.00000
LA,2020,7,0.07149,0.09868,14.28571
LA,2021,7,0.13783,0.09625,0.00000
LA,2022,17,0.08026,0.14491,11.76471
LA,2023,35,0.12649,0.12162,2.85714
LA,2024,19,0.14341,0.16714,10.52632
LA,2025,38,0.11072,0.13609,2.63158
MA,2018,7,0.03264,0.09613,14.28571
MA,2019,9,0.10861,0.06239,0.00000
MA,2020,20,0.08506,0.07755,5.00000
MA,2021,21,0.11016,0.18452,14.28571
MA,2022,44,0.07412,0.07007,2.27273
MA,2023,40,0.08176,0.09927,10.00000
MA,2024,48,0.07580,0.09935,8.33333
MA,2025,71,0.08172,0.08449,7.04225
MD,2018,14,0.09162,0.04511,0.00000
MD,2019,19,0.09513,0.08585,10.52632
MD,2020,28,0.09924,0.09253,7.14286
MD,2021,102,0.12364,0.08780,1.96078
MD,2022,53,0.11968,0.10222,1.88679
MD,2023,87,0.12469,0.13752,8.04598
MD,2024,53,0.12037,0.10028,3.77358
MD,2025,203,0.10735,0.08537,2.95567
ME,2019,7,0.07702,0.09534,14.28571
ME,2020,3,0.07844,0.11400,0.00000
ME,2021,4,0.10637,0.07681,0.00000
ME,2022,20,0.09679,0.14112,10.00000
ME,2023,20,0.04371,0.18461,10.00000
ME,2024,21,0.10042,0.15069,4.76190
ME,2025,33,0.06925,0.11167,15.15152
