primary_topic,-1,0,1,2,3,4,5,6,7,8,9,13,14,15,17,18,20,21,23,24,25,26,27,28,30,32,34,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,57,60,62,63,64,65,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,101,102,103,104,105,106,107,108,109,110,111,112,113,115,116,117,118,119,120,123,124,126,127,128,132,134,136,137,138,139,141,142,143,144,145,146,147,148,150,151,152,153,154,156,160,161,165,167,168,169,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,188,189,190,191,192,194,195,196,197,198,199,200,201,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,227,228,229,231,232,233,234,235,236,237,240,241,242,244,246,247,248,249,251,252,253,254,255,256,258,259,260,261,262,263,264,265,266,267,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,291,292,293,294,295,296,297,298,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,363,TOTAL
api_error,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
career_impact,197,110,0,0,5,0,4,0,68,0,0,0,4,0,0,0,0,0,0,18,0,4,0,3,0,0,22,0,0,0,8,24,4,0,16,0,21,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,12,14,0,0,0,5,0,11,8,5,0,2,0,2,1,10,8,9,0,0,0,0,0,0,14,7,0,1,0,0,1,4,10,0,2,0,0,2,0,1,12,15,0,0,9,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,5,10,0,9,0,8,0,0,10,0,0,0,0,0,0,0,0,10,0,0,11,0,2,0,0,0,10,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,10,0,10,10,0,0,0,0,1,2,0,0,1,2,10,10,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,954
financial_planning,857,636,0,0,0,0,0,0,6,0,0,0,10,17,0,6,11,0,0,0,0,20,1,14,2,0,1,1,0,30,8,1,8,0,0,0,1,9,0,0,11,0,0,0,0,0,0,1,11,3,0,11,8,3,0,1,7,10,11,0,0,0,0,1,12,1,10,5,9,3,1,9,12,9,0,3,4,0,0,0,0,2,20,0,10,0,9,10,5,8,6,0,10,0,1,3,0,1,1,0,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,11,1,0,5,0,0,0,0,2,0,0,1,3,1,0,0,4,0,1,0,5,1,5,0,1,0,0,9,3,0,9,0,0,2,10,10,0,0,0,3,11,10,0,0,10,10,10,0,0,0,0,10,1,0,0,1,0,5,5,0,10,0,0,10,0,0,0,0,0,3,10,0,0,1,0,0,10,1,10,0,10,10,0,0,0,10,11,0,10,0,0,2,10,0,2,0,0,0,0,1,10,0,10,0,0,0,0,0,0,0,0,1,1,0,0,10,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0,11,6,0,0,11,0,0,0,2,0,0,0,0,0,0,10,3,3,0,0,0,10,0,1,5,0,6,11,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,2327
frustration_venting,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
general_question,370,390,0,3,15,0,1,0,4,0,0,2,77,0,1,1,0,2,0,1,1,0,3,1,37,2,0,0,1,0,1,0,0,0,0,2,2,1,2,1,9,0,2,0,0,4,0,11,11,0,1,0,2,0,0,6,0,0,0,0,0,0,1,1,0,1,9,0,1,0,0,1,0,2,6,11,0,6,1,2,0,10,0,7,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,12,1,2,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,1,0,0,6,0,3,0,0,10,4,1,0,10,0,0,0,10,1,0,10,9,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,9,0,0,1,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,1,0,0,0,0,10,0,0,0,4,0,0,0,0,0,10,0,0,7,0,1,0,10,0,0,0,0,0,0,0,10,1,0,3,0,0,0,7,9,10,10,0,10,0,0,1343
parse_error,74,43,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,157
policy_uncertainty,282,205,0,0,10,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,12,4,10,30,15,0,0,1,0,22,1,0,1,8,11,0,10,0,0,2,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,10,0,0,0,0,0,0,10,0,1,10,6,0,10,0,3,0,0,0,0,2,0,0,0,0,1,0,0,11,5,2,0,1,9,7,0,0,10,10,0,9,10,0,0,0,1,0,0,0,10,2,10,1,3,0,0,0,9,2,9,1,9,0,2,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,10,0,0,0,0,0,1,1,0,0,9,0,0,10,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,10,0,10,0,0,0,0,10,0,0,11,0,0,0,0,10,0,9,0,0,0,0,0,10,0,10,10,0,0,0,0,0,10,0,10,1,0,0,10,0,0,9,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,4,2,1,0,0,10,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,10,9,0,0,0,0,10,0,0,1,1164
servicer_issues,358,106,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505
success_story,115,97,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
TOTAL,2259,1591,2,6,31,1,6,1,97,1,7,2,92,17,1,7,11,9,1,19,2,25,5,23,39,2,27,1,1,30,30,30,22,30,31,2,24,14,2,23,21,1,3,8,13,5,10,14,22,5,1,13,10,15,24,7,8,10,16,1,21,8,6,2,15,2,21,7,22,21,11,10,12,21,6,14,14,20,9,2,11,12,21,18,20,21,20,12,8,8,20,11,11,14,16,3,1,10,2,13,14,13,6,2,8,3,10,7,10,10,10,10,2,9,10,1,12,12,2,5,5,3,11,2,11,3,3,10,1,3,11,2,10,12,9,11,2,5,13,9,2,1,11,10,10,3,10,10,5,10,11,10,10,10,1,1,4,11,12,11,10,10,11,10,5,11,1,10,10,11,10,8,11,10,5,5,1,10,3,10,10,10,11,10,11,1,5,10,10,11,11,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,10,10,2,10,1,2,10,2,10,10,1,10,10,10,10,10,10,10,11,11,10,10,1,1,10,10,10,3,10,10,9,11,10,10,3,6,10,10,10,10,2,10,10,10,11,4,11,1,1,2,11,11,11,11,2,11,11,11,11,4,2,10,10,1,10,10,10,10,10,3,1,10,10,10,10,10,9,10,10,11,10,10,10,3,10,10,10,10,10,10,10,10,10,1,1,6858
