institution,state,city
Quinnipiac Univ/Netter MD SOM,CT,Hamden
St Francis Hospital,CT,Hartford
St Marys Hospital,CT,Waterbury
St Vincents Med Ctr,CT,Bridgeport
Stamford Hospital/Columbia,CT,Stamford
Waterbury Hospital,CT,Waterbury
Yale-New Haven Hosp,CT,New Haven
Bayhealth Med Ctr,DE,Dover
Beebe Healthcare,DE,Lewes
Christiana Care,DE,Newark
St Francis Hospital,DE,Wilmington
Childrens National Med Ctr,DC,Washington
George Washington Univ,DC,Washington
Howard Univ Hosp,DC,Washington
MedStar Georgetown Univ Hosp,DC,Washington
MedStar National Rehab Hosp,DC,Washington
MedStar Washington Hosp Ctr,DC,Washington
St Elizabeths Hospital/DBH,DC,Washington
Aventura Hospital,FL,Aventura
BayCare Health System,FL,Clearwater
Bayfront Med Ctr,FL,St Petersburg
Borinquen Health Care Ctr,FL,Miami
Broward Health Med Ctr,FL,Fort Lauderdale
Centerstone,FL,Bradenton
Citrus Health Network,FL,Hialeah
FAU-Schmidt COM,FL,Boca Raton
HCA Florida JFK Hosp-U Miami,FL,Atlantis
HCA Healthcare/JFK Med Center-UMiami,FL,Atlantis
HCA Healthcare/USF Morsani GME-Blake,FL,Bradenton
HCA Healthcare/USF Morsani GME-Brandon,FL,Brandon
HCA Healthcare/USF Morsani GME-Citrus,FL,Inverness
HCA Healthcare/USF Morsani GME-Largo,FL,Largo
HCA Healthcare/USF Morsani GME-Oak Hill,FL,Brooksville
HCA Healthcare/USF Morsani GME-Sarasota,FL,Sarasota
HCA Healthcare/USF Morsani GME-Trinity,FL,Trinity
HCA Healthcare/USF Morsani-Bayonet Pt,FL,Hudson
HCA Healthcare/USF Morsani-Northside,FL,St Petersburg
Halifax Med Ctr,FL,Daytona Beach
Jessie Trice Comm Hlth Sys,FL,Miami
Johns Hopkins All Childrens Hosp,FL,St Petersburg
Kendall Regional Med Ctr,FL,Miami
Keralty Hospital,FL,Miami
Lakeland Regional Health,FL,Lakeland
Lakeside Med Ctr,FL,Belle Glade
Larkin Comm Hosp Palm Springs Campus,FL,Hialeah
Larkin Community Hospital,FL,South Miami
Manatee Memorial Hosp,FL,Bradenton
Mayo Clinic School of Grad Med Educ,FL,Jacksonville
Memorial Healthcare System,FL,Pembroke Pines
Mt Sinai Med Ctr-Miami,FL,Miami Beach
NCH Healthcare Sys,FL,Naples
Nemours Childrens Hosp,FL,Orlando
Nicklaus Childrens Hospital-Miami,FL,Miami
Nova Southeastern University KPCOM,FL,Clearwater
Orlando Health,FL,Orlando
Palmetto General Hosp,FL,Hialeah
Southern Winds Hospital,FL,Hialeah
St Vincents Med Ctr,FL,Jacksonville
Tallahassee Mem Healthcare,FL,Tallahassee
U Miami MSOM/Holy Cross,FL,Miami
U Miami/Jackson Health System,FL,Miami
Wellington Reg Med Ctr,FL,Wellington
West Kendall Baptist Hospital,FL,Miami
AU-UGA Medical Partnership,GA,Athens
AdventHealth Redmond,GA,Rome
Atlanta Med Ctr,GA,Atlanta
Atrium Health Navicent Med Ctr,GA,Macon
Colquitt Regional Med Ctr,GA,Moultrie
Emory Univ SOM,GA,Atlanta
