institution,state,program_name,program_code,specialty_code,specialty,program_type_code,program_type,year,quota,filled,fill_rate,pslf_class,pslf_evidence,city
Thomas Hospital,AL,Family Medicine,2955120C0,120,Family Medicine,C,Categorical,2021,16,16,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology,1007040C0,40,Anesthesiology,C,Categorical,2025,21,21,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology,1007040C0,40,Anesthesiology,C,Categorical,2024,20,20,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology,1007040C0,40,Anesthesiology,C,Categorical,2023,20,20,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology,1007040C0,40,Anesthesiology,C,Categorical,2022,21,21,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology,1007040C0,40,Anesthesiology,C,Categorical,2021,20,20,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology/Research,1007040C1,40,Anesthesiology,C,Categorical,2024,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology/Research,1007040C1,40,Anesthesiology,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Anesthesiology/Research,1007040C1,40,Anesthesiology,C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology,1007080A0,80,Dermatology,A,Advanced,2025,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology,1007080A0,80,Dermatology,A,Advanced,2024,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology,1007080A0,80,Dermatology,A,Advanced,2023,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology,1007080A0,80,Dermatology,A,Advanced,2022,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology,1007080A0,80,Dermatology,A,Advanced,2021,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology/Rural,1007080A2,80,Dermatology,A,Advanced,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Dermatology/Alabama First Track,1007080R0,80,Dermatology,R,Physician (PGY-2 entry),2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Emergency Medicine,1007110C0,110,Emergency Medicine,C,Categorical,2025,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Emergency Medicine,1007110C0,110,Emergency Medicine,C,Categorical,2024,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Emergency Medicine,1007110C0,110,Emergency Medicine,C,Categorical,2023,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Emergency Medicine,1007110C0,110,Emergency Medicine,C,Categorical,2022,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Emergency Medicine,1007110C0,110,Emergency Medicine,C,Categorical,2021,11,11,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2025,37,37,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2024,38,38,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2023,38,38,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2022,37,37,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2021,38,38,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2025,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2024,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2022,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2025,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2024,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2023,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2022,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2021,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurology,1007180C0,180,Neurology,C,Categorical,2025,10,10,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurology,1007180C0,180,Neurology,C,Categorical,2024,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurology,1007180C0,180,Neurology,C,Categorical,2023,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurology,1007180C0,180,Neurology,C,Categorical,2022,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Neurology,1007180C0,180,Neurology,C,Categorical,2021,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2025,2,1,0.5,ambiguous,,Fairhope
Thomas Hospital,AL,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2024,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2023,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2022,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2021,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Obstetrics-Gynecology,1007220C0,220,Obstetrics-Gynecology,C,Categorical,2025,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Obstetrics-Gynecology,1007220C0,220,Obstetrics-Gynecology,C,Categorical,2024,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Obstetrics-Gynecology,1007220C0,220,Obstetrics-Gynecology,C,Categorical,2023,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Obstetrics-Gynecology,1007220C0,220,Obstetrics-Gynecology,C,Categorical,2022,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Obstetrics-Gynecology,1007220C0,220,Obstetrics-Gynecology,C,Categorical,2021,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Orthopaedic Surgery,1007260C0,260,Orthopaedic Surgery,C,Categorical,2025,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Orthopaedic Surgery,1007260C0,260,Orthopaedic Surgery,C,Categorical,2024,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Orthopaedic Surgery,1007260C0,260,Orthopaedic Surgery,C,Categorical,2023,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Orthopaedic Surgery,1007260C0,260,Orthopaedic Surgery,C,Categorical,2022,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Orthopaedic Surgery,1007260C0,260,Orthopaedic Surgery,C,Categorical,2021,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Otolaryngology,1007280C0,280,Otolaryngology,C,Categorical,2025,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Otolaryngology,1007280C0,280,Otolaryngology,C,Categorical,2024,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Otolaryngology,1007280C0,280,Otolaryngology,C,Categorical,2023,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Otolaryngology,1007280C0,280,Otolaryngology,C,Categorical,2022,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Otolaryngology,1007280C0,280,Otolaryngology,C,Categorical,2021,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology,1007300C0,300,Pathology,C,Categorical,2025,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology,1007300C0,300,Pathology,C,Categorical,2024,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology,1007300C0,300,Pathology,C,Categorical,2023,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology,1007300C0,300,Pathology,C,Categorical,2022,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology,1007300C0,300,Pathology,C,Categorical,2021,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pathology/AP or CP,1007300C2,300,Pathology,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics,1007320C0,320,Pediatrics,C,Categorical,2025,26,26,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics,1007320C0,320,Pediatrics,C,Categorical,2024,24,24,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics,1007320C0,320,Pediatrics,C,Categorical,2023,24,24,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics,1007320C0,320,Pediatrics,C,Categorical,2022,25,25,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics,1007320C0,320,Pediatrics,C,Categorical,2021,24,24,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Phys Medicine & Rehab,1007340A0,340,Phys Medicine & Rehab,A,Advanced,2022,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Phys Medicine & Rehab,1007340A0,340,Phys Medicine & Rehab,A,Advanced,2021,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Phys Medicine & Rehab,1007340C0,340,Phys Medicine & Rehab,C,Categorical,2025,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Phys Medicine & Rehab,1007340C0,340,Phys Medicine & Rehab,C,Categorical,2024,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Phys Medicine & Rehab,1007340C0,340,Phys Medicine & Rehab,C,Categorical,2023,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Plastic Surgery (Integrated),1007362C0,362,Plastic Surgery (Integrated),C,Categorical,2025,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Plastic Surgery (Integrated),1007362C0,362,Plastic Surgery (Integrated),C,Categorical,2024,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Plastic Surgery (Integrated),1007362C0,362,Plastic Surgery (Integrated),C,Categorical,2023,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Plastic Surgery (Integrated),1007362C0,362,Plastic Surgery (Integrated),C,Categorical,2022,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Plastic Surgery (Integrated),1007362C0,362,Plastic Surgery (Integrated),C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2025,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2024,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2023,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2022,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2021,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry/Research,1007400C1,400,Psychiatry,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry/Research,1007400C1,400,Psychiatry,C,Categorical,2024,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry/Research,1007400C1,400,Psychiatry,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry/Research,1007400C1,400,Psychiatry,C,Categorical,2022,2,2,1.0,ambiguous,,Fairhope
