specialty,n_friendly,n_hostile,friendly_mean_delta,hostile_mean_delta,did_pp,p
Family Medicine,112,3,-4.2257,-14.8247,10.5990,
Internal Medicine,138,5,-2.0028,0.0730,-2.0758,0.7704
