year,moh_cfpb_share_pct,moh_cfpb_n
2016,1.7595307917888565,6
2017,1.2221423436376708,17
2018,1.0446343779677114,11
2019,0.09930486593843098,1
2020,0.19569471624266144,1
2021,0.3853564547206166,2
2022,18.30985915492958,234
2023,63.12997347480106,1190
2024,62.80718336483931,1329
2025,56.2753036437247,1251
2026,52.19298245614035,119
