institution,state,fy,normalized_query,parent_query,matched_org_name,total_award_amount,n_projects,match_strategy
Anne Arundel Med Ctr,MD,2023,ANNE ARUNDEL MEDICAL CENTER,ANNE ARUNDEL,,0.0,0,no_match
Appalachian OPTIC,KY,2023,APPALACHIAN OPTIC,,,0.0,0,no_match
Appalachian Regional Healthcare,KY,2023,APPALACHIAN REGIONAL HEALTHCARE,APPALACHIAN,,0.0,0,no_match
Arnot Ogden Med Ctr,NY,2023,ARNOT OGDEN MEDICAL CENTER,ARNOT OGDEN,,0.0,0,no_match
Arrowhead Reg Med Ctr,CA,2023,ARROWHEAD REG MEDICAL CENTER,ARROWHEAD REG,,0.0,0,no_match
Ascension Providence/MSUCHM,MI,2023,ASCENSION PROVIDENCE,,,0.0,0,no_match
Ascension Resurrection,IL,2023,ASCENSION RESURRECTION,,,0.0,0,no_match
Ascension St Alexius,IL,2023,ASCENSION SAINT ALEXIUS,,,0.0,0,no_match
Ascension St Francis,IL,2023,ASCENSION SAINT FRANCIS,,,0.0,0,no_match
Ascension St Joseph,IL,2023,ASCENSION SAINT JOSEPH,,,0.0,0,no_match
Ascension St Mary,IL,2023,ASCENSION SAINT MARY,,,0.0,0,no_match
Ascension St Vincent Hosp,IN,2023,ASCENSION SAINT VINCENT HOSP,,,0.0,0,no_match
Atlanta Med Ctr,GA,2023,ATLANTA MEDICAL CENTER,ATLANTA,CLARK ATLANTA UNIVERSITY,8995937.0,15,parent_institution_with_state
AtlantiCare Reg Med Ctr,NJ,2023,ATLANTICARE REG MEDICAL CENTER,ATLANTICARE REG,,0.0,0,no_match
Atlantic Health System,NJ,2023,ATLANTIC HEALTH SYSTEM,ATLANTIC,"ATLANTIC HEALTH SYSTEM, INC.",924915.0,1,full_normalized_with_state
Atrium Health Cabarrus,NC,2023,ATRIUM HEALTH CABARRUS,,,0.0,0,no_match
Atrium Health Navicent Med Ctr,GA,2023,ATRIUM HEALTH NAVICENT MEDICAL CENTER,ATRIUM HEALTH NAVICENT,,0.0,0,no_match
Augusta Health,VA,2023,AUGUSTA HEALTH,,,0.0,0,no_match
Aultman Hospital/NEOMED,OH,2023,AULTMAN HOSPITAL,AULTMAN,,0.0,0,no_match
Aurora Health Care/ASMC,WI,2023,AURORA HEALTH CARE,,"AURORA HEALTH CARE, INC.",1847089.0,1,full_normalized_with_state
Aurora St Lukes Medical Ctr,WI,2023,AURORA SAINT LUKES MEDICAL CTR,,,0.0,0,no_match
Authority Health GME,MI,2023,AUTHORITY HEALTH,,,0.0,0,no_match
Aventura Hospital,FL,2023,AVENTURA HOSPITAL,AVENTURA,,0.0,0,no_match
B I Deaconess Med Ctr,MA,2023,B I DEACONESS MEDICAL CENTER,B I DEACONESS,BETH ISRAEL DEACONESS MEDICAL CENTER,133883939.0,251,full_normalized_with_state
Baptist Health,AR,2023,BAPTIST HEALTH,,,0.0,0,no_match
Baptist Health Deaconess,KY,2023,BAPTIST HEALTH DEACONESS,,,0.0,0,no_match
Baptist Mem Hosp DeSoto,MS,2023,BAPTIST MEMORIAL HOSPITAL DESOTO,BAPTIST,,0.0,0,no_match
Baptist Mem Hosp Golden Triangle,MS,2023,BAPTIST MEMORIAL HOSPITAL GOLDEN TRIANGLE,BAPTIST,,0.0,0,no_match
Baptist Mem Hosp North,MS,2023,BAPTIST MEMORIAL HOSPITAL NORTH,BAPTIST,,0.0,0,no_match
Baptist Mem Med Education,AR,2023,BAPTIST MEMORIAL MED EDUCATION,BAPTIST,OUACHITA BAPTIST UNIVERSITY,254743.0,2,parent_institution_with_state
Barnes-Jewish Hosp,MO,2023,BARNES-JEWISH HOSP,,,0.0,0,no_match
Barrow Neurological Inst at SJHMC,AZ,2023,BARROW NEUROLOGICAL INST AT SJHMC,,,0.0,0,no_match
Bassett Med Ctr,NY,2023,BASSETT MEDICAL CENTER,BASSETT,MARY IMOGENE BASSETT HOSPITAL,2311989.0,3,parent_institution_with_state
Baton Rouge Gen Med Ctr,LA,2023,BATON ROUGE GEN MEDICAL CENTER,BATON ROUGE GEN,SOUTHERN UNIV A&M COL BATON ROUGE,31165558.0,76,distinctive_tokens_with_state
BayCare Health System,FL,2023,BAYCARE HEALTH SYSTEM,BAYCARE,,0.0,0,no_match
Bayfront Med Ctr,FL,2023,BAYFRONT MEDICAL CENTER,BAYFRONT,,0.0,0,no_match
Bayhealth Med Ctr,DE,2023,BAYHEALTH MEDICAL CENTER,BAYHEALTH,,0.0,0,no_match
Baylor Coll Med-Houston,TX,2023,BAYLOR COLL MED-HOUSTON,,,0.0,0,no_match
Baylor S&W All Saints Med Ctr,TX,2023,BAYLOR S&W ALL SAINTS MEDICAL CENTER,BAYLOR S&W ALL SAINTS,,0.0,0,no_match
Baylor S&W Med Ctr-Round Rock,TX,2023,BAYLOR S&W MEDICAL CENTER-ROUND ROCK,BAYLOR S&W,,0.0,0,no_match
Baylor S&W-Baylor COM Temple,TX,2023,BAYLOR S&W-BAYLOR COM TEMPLE,,,0.0,0,no_match
Baylor Scott & White Med Ctr,TX,2023,BAYLOR SCOTT & WHITE MEDICAL CENTER,BAYLOR SCOTT & WHITE,,0.0,0,no_match
Baylor Univ Med Ctr-Dallas,TX,2023,BAYLOR UNIVERSITY MEDICAL CENTER-DALLAS,BAYLOR UNIVERSITY,BAYLOR UNIVERSITY,6254933.0,25,parent_institution_with_state
Baystate Franklin Med Ctr,MA,2023,BAYSTATE FRANKLIN MEDICAL CENTER,BAYSTATE FRANKLIN,,0.0,0,no_match
Beebe Healthcare,DE,2023,BEEBE HEALTHCARE,,,0.0,0,no_match
Benefis Hospital,MT,2023,BENEFIS HOSPITAL,BENEFIS,,0.0,0,no_match
Berkshire Med Ctr,MA,2023,BERKSHIRE MEDICAL CENTER,BERKSHIRE,,0.0,0,no_match
Bethesda Hospital,OH,2023,BETHESDA HOSPITAL,BETHESDA,,0.0,0,no_match
Billings Clinic,MT,2023,BILLINGS CLINIC,,,0.0,0,no_match
Bon Secours Health System,VA,2023,BON SECOURS HEALTH SYSTEM,BON SECOURS,,0.0,0,no_match
Borinquen Health Care Ctr,FL,2023,BORINQUEN HEALTH CARE CTR,,,0.0,0,no_match
Boston Univ Med Ctr,MA,2023,BOSTON UNIVERSITY MEDICAL CENTER,BOSTON UNIVERSITY,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),403767717.0,711,parent_institution_with_state
Bridgeport Hospital,CT,2023,BRIDGEPORT HOSPITAL,BRIDGEPORT,,0.0,0,no_match
Brigham & Womens Hosp,MA,2023,BRIGHAM & WOMEN'S HOSP,,BRIGHAM AND WOMEN'S HOSPITAL,483634908.0,819,distinctive_tokens_with_state
Broadlawns Med Ctr,IA,2023,BROADLAWNS MEDICAL CENTER,BROADLAWNS,,0.0,0,no_match
BronxCare Health System,NY,2023,BRONXCARE HEALTH SYSTEM,BRONXCARE,,0.0,0,no_match
Brooklyn Hosp Ctr,NY,2023,BROOKLYN HOSP CTR,,,0.0,0,no_match
Broward Health Med Ctr,FL,2023,BROWARD HEALTH MEDICAL CENTER,BROWARD HEALTH,,0.0,0,no_match
Brown Univ/Butler Hospital,RI,2023,BROWN UNIVERSITY,,BROWN UNIVERSITY,175717580.0,356,full_normalized_with_state
Bryn Mawr Hospital,PA,2023,BRYN MAWR HOSPITAL,BRYN MAWR,BRYN MAWR COLLEGE,418606.0,1,parent_institution_with_state
Burke Rehabilitation Hosp,NY,2023,BURKE REHABILITATION HOSP,,,0.0,0,no_match
Butler Memorial Hospital,PA,2023,BUTLER MEMORIAL HOSPITAL,BUTLER,,0.0,0,no_match
CHI St Vincent Hot Springs,AR,2023,CHI SAINT VINCENT HOT SPRINGS,,,0.0,0,no_match
CHRISTUS Health,TX,2023,CHRISTUS HEALTH,,,0.0,0,no_match
CMSRU/Cooper University Hospital,NJ,2023,CMSRU,,,0.0,0,no_match
Cambridge Health Alliance,MA,2023,CAMBRIDGE HEALTH ALLIANCE,,CAMBRIDGE HEALTH ALLIANCE,4220033.0,7,full_normalized_with_state
Campbell University,NC,2023,CAMPBELL UNIVERSITY,,,0.0,0,no_match
Canton Med Ed Fdn/NEOMED,OH,2023,CANTON MED ED FDN,,,0.0,0,no_match
Cape Fear Valley Health,NC,2023,CAPE FEAR VALLEY HEALTH,,,0.0,0,no_match
Capital Health Reg Med Ctr,NJ,2023,CAPITAL HEALTH REG MEDICAL CENTER,CAPITAL HEALTH REG,,0.0,0,no_match
CarePoint Health,NJ,2023,CAREPOINT HEALTH,,,0.0,0,no_match
Carle Foundation Hosp,IL,2023,CARLE FOUNDATION HOSP,,,0.0,0,no_match
Carolinas Med Ctr,NC,2023,CAROLINAS MEDICAL CENTER,CAROLINAS,CAROLINAS MEDICAL CENTER,1179697.0,1,full_normalized_with_state
Casa Colina Hosp,CA,2023,CASA COLINA HOSP,,,0.0,0,no_match
Case Western/Univ Hosps Cleveland Med Ctr,OH,2023,CASE WESTERN,,CASE WESTERN RESERVE UNIVERSITY,220839156.0,446,full_normalized_with_state
Cayuga Med Ctr,NY,2023,CAYUGA MEDICAL CENTER,CAYUGA,,0.0,0,no_match
Cedars-Sinai Med Ctr,CA,2023,CEDARS-SINAI MEDICAL CENTER,CEDARS-SINAI,CEDARS-SINAI MEDICAL CENTER,110484449.0,207,full_normalized_with_state
Center for Family Medicine,SD,2023,CENTER FOR FAMILY MEDICINE,,,0.0,0,no_match
Centerstone,FL,2023,CENTERSTONE,,,0.0,0,no_match
Centro Medico Menonita Cayey,PR,2023,CENTRO MEDICO MENONITA CAYEY,,,0.0,0,no_match
Charles R Drew University,CA,2023,CHARLES R DREW UNIVERSITY,,CHARLES R. DREW UNIVERSITY OF MED & SCI,12682697.0,21,full_normalized_with_state
Charleston Area Med Ctr,WV,2023,CHARLESTON AREA MEDICAL CENTER,CHARLESTON AREA,,0.0,0,no_match
Cheshire Med Ctr/Dartmouth Health,NH,2023,CHESHIRE MEDICAL CENTER,CHESHIRE,,0.0,0,no_match
Childrens Hosp-Philadelphia,PA,2023,CHILDREN'S HOSP-PHILADELPHIA,,,0.0,0,no_match
Childrens Hospital-Boston,MA,2023,CHILDREN'S HOSPITAL-BOSTON,CHILDREN'S,BOSTON CHILDREN'S HOSPITAL,261426907.0,498,parent_institution_with_state
Childrens Hospital-LA,CA,2023,CHILDREN'S HOSPITAL-LA,CHILDREN'S,CHILDREN'S HOSPITAL OF LOS ANGELES,41365963.0,84,parent_institution_with_state
Childrens Hospital-Oakland,CA,2023,CHILDREN'S HOSPITAL-OAKLAND,CHILDREN'S,CHILDREN'S HOSPITAL OF LOS ANGELES,41365963.0,84,parent_institution_with_state
Childrens Mercy Hospital,MO,2023,CHILDREN'S MERCY HOSPITAL,CHILDREN'S MERCY,"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",14859069.0,35,parent_institution_with_state
Childrens National Med Ctr,DC,2023,CHILDREN'S NATIONAL MEDICAL CENTER,CHILDREN'S NATIONAL,CHILDREN'S NATIONAL MEDICAL CENTER,473370.0,1,full_normalized_with_state
Christ Hospital,OH,2023,CHRIST HOSPITAL,CHRIST,THE CHRIST HOSPITAL,160211.0,1,full_normalized_with_state
Christiana Care,DE,2023,CHRISTIANA CARE,,"CHRISTIANA CARE HEALTH SERVICES, INC.",1798153.0,1,full_normalized_with_state
Cincinnati Childrens Hosp Med Ctr,OH,2023,CINCINNATI CHILDREN'S HOSP MEDICAL CENTER,CINCINNATI CHILDREN'S HOSP,,0.0,0,no_match
Citrus Health Network,FL,2023,CITRUS HEALTH NETWORK,CITRUS,,0.0,0,no_match
City Of Hope,CA,2023,CITY OF HOPE,,,0.0,0,no_match
Clarion Hospital,PA,2023,CLARION HOSPITAL,CLARION,,0.0,0,no_match
Clarkson Family Med Res,NE,2023,CLARKSON FAMILY MED RES,,,0.0,0,no_match
Cleveland Clinic Fdn,OH,2023,CLEVELAND CLINIC FDN,,CLEVELAND CLINIC LERNER COM-CWRU,162136347.0,330,distinctive_tokens_with_state
Clinica Sierra Vista,CA,2023,CLINICA SIERRA VISTA,,,0.0,0,no_match
College Med Ctr,CA,2023,COLLEGE MEDICAL CENTER,COLLEGE,OCCIDENTAL COLLEGE,721389.0,2,parent_institution_with_state
Colquitt Regional Med Ctr,GA,2023,COLQUITT REGIONAL MEDICAL CENTER,COLQUITT,,0.0,0,no_match
Common Spirit Health Mountain Region,CO,2023,COMMON SPIRIT HEALTH MOUNTAIN REGION,,,0.0,0,no_match
Community Health Care,WA,2023,COMMUNITY HEALTH CARE,,,0.0,0,no_match
Community Health Network,IN,2023,COMMUNITY HEALTH NETWORK,COMMUNITY,,0.0,0,no_match
Community Healthcare Network,NY,2023,COMMUNITY HEALTHCARE NETWORK,,,0.0,0,no_match
Community Mem Health Sys,CA,2023,COMMUNITY MEMORIAL HEALTH SYS,COMMUNITY,,0.0,0,no_match
Concord Hospital,NH,2023,CONCORD HOSPITAL,CONCORD,,0.0,0,no_match
Cone Health,NC,2023,CONE HEALTH,,,0.0,0,no_match
Conemaugh Memorial Med Ctr,PA,2023,CONEMAUGH MEMORIAL MEDICAL CENTER,CONEMAUGH,,0.0,0,no_match
Coney Island Hospital,NY,2023,CONEY ISLAND HOSPITAL,CONEY ISLAND,,0.0,0,no_match
Conroe Reg Med Ctr,TX,2023,CONROE REG MEDICAL CENTER,CONROE REG,,0.0,0,no_match
Contra Costa Reg Med Ctr,CA,2023,CONTRA COSTA REG MEDICAL CENTER,CONTRA COSTA REG,,0.0,0,no_match
Conway Reg Health Sys,AR,2023,CONWAY REG HEALTH SYS,,,0.0,0,no_match
Cook County Health and Hosps Sys,IL,2023,COOK COUNTY HEALTH AND HOSPS SYS,,,0.0,0,no_match
Corewell Health,MI,2023,COREWELL HEALTH,,COREWELL HEALTH,2113756.0,1,full_normalized_with_state
Corewell Health Lakeland,MI,2023,COREWELL HEALTH LAKELAND,,,0.0,0,no_match
Corewell Health-Grand Rapids/MSU,MI,2023,COREWELL HEALTH-GRAND RAPIDS,,,0.0,0,no_match
Cornerstone Care THC,PA,2023,CORNERSTONE CARE THC,,,0.0,0,no_match
CoxHealth,MO,2023,COXHEALTH,,,0.0,0,no_match
Creedmoor Psych Ctr,NY,2023,CREEDMOOR PSYCH CTR,,,0.0,0,no_match
Creighton Univ Affil Hosps,AZ,2023,CREIGHTON UNIVERSITY AFFIL HOSPS,,,0.0,0,no_match
Creighton University,AZ,2023,CREIGHTON UNIVERSITY,,,0.0,0,no_match
Crozer-Chester Med Ctr,PA,2023,CROZER-CHESTER MEDICAL CENTER,CROZER-CHESTER,,0.0,0,no_match
Damas Hospital,PR,2023,DAMAS HOSPITAL,DAMAS,,0.0,0,no_match
Danbury Hospital,CT,2023,DANBURY HOSPITAL,DANBURY,,0.0,0,no_match
Dartmouth-Hitchcock Med Ctr,NH,2023,DARTMOUTH-HITCHCOCK MEDICAL CENTER,DARTMOUTH-HITCHCOCK,DARTMOUTH-HITCHCOCK CLINIC,15229400.0,39,parent_institution_with_state
DePaul Community Health Ctr,LA,2023,DEPAUL COMMUNITY HEALTH CTR,,,0.0,0,no_match
DeTar Healthcare System,TX,2023,DETAR HEALTHCARE SYSTEM,DETAR,,0.0,0,no_match
Deaconess Hospital,IN,2023,DEACONESS HOSPITAL,DEACONESS,,0.0,0,no_match
Delaware Valley Community Health,PA,2023,DELAWARE VALLEY COMMUNITY HEALTH,,,0.0,0,no_match
Denver Community Hlth Svcs,CO,2023,DENVER COMMUNITY HLTH SVCS,,,0.0,0,no_match
Denver Health Med Ctr,CO,2023,DENVER HEALTH MEDICAL CENTER,DENVER HEALTH,DENVER HEALTH AND HOSPITAL AUTHORITY,2746583.0,8,parent_institution_with_state
Desert Regional Med Ctr,CA,2023,DESERT REGIONAL MEDICAL CENTER,DESERT,,0.0,0,no_match
Detroit Med Ctr/WSU,MI,2023,DETROIT MEDICAL CENTER,DETROIT,UNIVERSITY OF DETROIT MERCY,4275830.0,7,parent_institution_with_state
Dignity East Valley,AZ,2023,DIGNITY EAST VALLEY,,,0.0,0,no_match
Dignity Methodist Hosp-Sacramento,CA,2023,DIGNITY METHODIST HOSP-SACRAMENTO,,,0.0,0,no_match
Dignity Northridge Hosp Med Ctr,CA,2023,DIGNITY NORTHRIDGE HOSP MEDICAL CENTER,DIGNITY NORTHRIDGE HOSP,,0.0,0,no_match
Dignity St Rose Dominican Hosps,NV,2023,DIGNITY SAINT ROSE DOMINICAN HOSPS,,,0.0,0,no_match
Doctors Hospital at Renaissance,TX,2023,DOCTORS HOSPITAL AT RENAISSANCE,DOCTORS,,0.0,0,no_match
Doylestown Hospital,PA,2023,DOYLESTOWN HOSPITAL,DOYLESTOWN,,0.0,0,no_match
Driscoll Childrens Hosp,TX,2023,DRISCOLL CHILDREN'S HOSP,,,0.0,0,no_match
Duke Univ Med Ctr,NC,2023,DUKE UNIVERSITY MEDICAL CENTER,DUKE UNIVERSITY,DUKE UNIVERSITY,856289948.0,1236,parent_institution_with_state
ECU Health Med Ctr,NC,2023,ECU HEALTH MEDICAL CENTER,ECU HEALTH,,0.0,0,no_match
EVMS Old Dominion University,VA,2023,EVMS OLD DOMINION UNIVERSITY,,,0.0,0,no_match
East Jefferson Gen Hosp,LA,2023,EAST JEFFERSON GEN HOSP,,,0.0,0,no_match
East Liverpool City Hosp,OH,2023,EAST LIVERPOOL CITY HOSP,,,0.0,0,no_match
Eisenhower Med Ctr,CA,2023,EISENHOWER MEDICAL CENTER,EISENHOWER,,0.0,0,no_match
El Rio Health,AZ,2023,EL RIO HEALTH,,,0.0,0,no_match
Ellis Hospital,NY,2023,ELLIS HOSPITAL,ELLIS,,0.0,0,no_match
Elson S Floyd COM WSU,WA,2023,ELSON S FLOYD COM WSU,,,0.0,0,no_match
Emanate Health,CA,2023,EMANATE HEALTH,,,0.0,0,no_match
Emory Univ SOM,GA,2023,EMORY UNIVERSITY SOM,,,0.0,0,no_match
Englewood Hosp,NJ,2023,ENGLEWOOD HOSP,,,0.0,0,no_match
Excela Health Latrobe Hosp,PA,2023,EXCELA HEALTH LATROBE HOSP,,,0.0,0,no_match
FAU-Schmidt COM,FL,2023,FAU-SCHMIDT COM,,,0.0,0,no_match
Fairfield Med Ctr,OH,2023,FAIRFIELD MEDICAL CENTER,FAIRFIELD,,0.0,0,no_match
Family Health Ctrs at NYU Langone,NY,2023,FAMILY HEALTH CTRS AT NEW YORK UNIVERSITY LANGONE,,,0.0,0,no_match
Family Health Ctrs of San Diego,CA,2023,FAMILY HEALTH CTRS OF SAN DIEGO,,,0.0,0,no_match
Firelands Regional Med Ctr,OH,2023,FIRELANDS REGIONAL MEDICAL CENTER,FIRELANDS,,0.0,0,no_match
Floyd Med Ctr,GA,2023,FLOYD MEDICAL CENTER,FLOYD,,0.0,0,no_match
Flushing Hospital Med Ctr,NY,2023,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,,0.0,0,no_match
Forbes Family Medicine,PA,2023,FORBES FAMILY MEDICINE,,,0.0,0,no_match
Forrest General Hospital,MS,2023,FORREST GENERAL HOSPITAL,FORREST GENERAL,,0.0,0,no_match
Franciscan Health,IN,2023,FRANCISCAN HEALTH,,,0.0,0,no_match
Franciscan Health Olympia Fields,IL,2023,FRANCISCAN HEALTH OLYMPIA FIELDS,,,0.0,0,no_match
Ft Wayne Med Ed Prog,IN,2023,FT WAYNE MED ED PROG,,,0.0,0,no_match
Full Circle Health,ID,2023,FULL CIRCLE HEALTH,,,0.0,0,no_match
Garden City Hospital,MI,2023,GARDEN CITY HOSPITAL,GARDEN CITY,,0.0,0,no_match
Garnet Health Med Ctr,NY,2023,GARNET HEALTH MEDICAL CENTER,GARNET HEALTH,,0.0,0,no_match
Gateway Behavioral Hlth Comm Svc,GA,2023,GATEWAY BEHAVIORAL HLTH COMM SVC,,,0.0,0,no_match
Geisinger Health System,PA,2023,GEISINGER HEALTH SYSTEM,GEISINGER,GEISINGER CLINIC,10522726.0,13,parent_institution_with_state
Genesis Quad Cities,IA,2023,GENESIS QUAD CITIES,,,0.0,0,no_match
George Washington Univ,DC,2023,GEORGE WASHINGTON UNIVERSITY,,GEORGE WASHINGTON UNIVERSITY,78785838.0,138,full_normalized_with_state
Good Samaritan Hosp Med Ctr,NY,2023,GOOD SAMARITAN HOSP MEDICAL CENTER,GOOD SAMARITAN HOSP,,0.0,0,no_match
Good Samaritan Hosp-Cinn,OH,2023,GOOD SAMARITAN HOSP-CINN,,,0.0,0,no_match
Good Samaritan Univ Hosp,NY,2023,GOOD SAMARITAN UNIVERSITY HOSP,,,0.0,0,no_match
Gracelight Community Health,CA,2023,GRACELIGHT COMMUNITY HEALTH,,,0.0,0,no_match
Grand Strand Reg Med Ctr,SC,2023,GRAND STRAND REG MEDICAL CENTER,GRAND STRAND REG,,0.0,0,no_match
Greater Baltimore Med Ctr,MD,2023,GREATER BALTIMORE MEDICAL CENTER,GREATER BALTIMORE,,0.0,0,no_match
Greenbrier Valley Med Ctr,WV,2023,GREENBRIER VALLEY MEDICAL CENTER,GREENBRIER VALLEY,,0.0,0,no_match
Greenwich Hospital,CT,2023,GREENWICH HOSPITAL,GREENWICH,,0.0,0,no_match
Griffin Hospital,CT,2023,GRIFFIN HOSPITAL,GRIFFIN,,0.0,0,no_match
Griffin Memorial Hospital,OK,2023,GRIFFIN MEMORIAL HOSPITAL,GRIFFIN,,0.0,0,no_match
Grtr Lawrence Fam Hlth Ctr,MA,2023,GRTR LAWRENCE FAM HLTH CTR,,,0.0,0,no_match
Gundersen Lutheran Med Fdn,WI,2023,GUNDERSEN LUTHERAN MED FDN,,,0.0,0,no_match
Guthrie/Robert Packer Hosp,PA,2023,GUTHRIE,,,0.0,0,no_match
HCA Chippenham & Johnston-Willis Hosps,VA,2023,HCA CHIPPENHAM & JOHNSTON-WILLIS HOSPS,,,0.0,0,no_match
HCA Corpus Christi Med Ctr,TX,2023,HCA CORPUS CHRISTI MEDICAL CENTER,HCA CORPUS CHRISTI,,0.0,0,no_match
HCA Florida JFK Hosp-U Miami,FL,2023,HCA FLORIDA JFK HOSP-UNIVERSITY MIAMI,,,0.0,0,no_match
HCA Healthcare Kansas City,MO,2023,HCA HEALTHCARE KANSAS CITY,,,0.0,0,no_match
HCA Healthcare LGH-Montgomery/VCOM,VA,2023,HCA HEALTHCARE LGH-MONTGOMERY,,,0.0,0,no_match
HCA Healthcare/JFK Med Center-UMiami,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/TriStar Nashville,TN,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/TriStar Southern Hills,TN,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Blake,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Brandon,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Citrus,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Largo,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Oak Hill,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Sarasota,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-St Pete,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani GME-Trinity,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani-Bayonet Pt,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Healthcare/USF Morsani-Northside,FL,2023,HCA HEALTHCARE,,,0.0,0,no_match
HCA Houston Healthcare/U Houston,TX,2023,HCA HOUSTON HEALTHCARE,,,0.0,0,no_match
HCA Las Palmas del Sol Healthcare,TX,2023,HCA LAS PALMAS DEL SOL HEALTHCARE,,,0.0,0,no_match
HCA Medical City Healthcare,TX,2023,HCA MEDICAL CITY HEALTHCARE,,,0.0,0,no_match
HMH-Palisades Med Ctr,NJ,2023,HMH-PALISADES MEDICAL CENTER,HMH-PALISADES,,0.0,0,no_match
Hackensack U Med Ctr,NJ,2023,HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK UNIVERSITY,HACKENSACK UNIVERSITY MEDICAL CENTER,27752641.0,35,full_normalized_with_state
