combo,alpha,ci_low,ci_high
3-LLM (Claude+Llama+DeepSeek),0.6901299820940506,0.6461735906874466,0.730227838700331
3-LLM + TextBlob (FIXED),0.3002836462858687,0.2571007150750266,0.34333673349475324
3-LLM + TextBlob (QCUT),0.3004581413772174,0.25663211688788395,0.3444012648369707
3-LLM + VADER (FIXED),0.18640755161689493,0.14210610856059502,0.22927256539011306
3-LLM + VADER (QCUT),0.3550666149386491,0.3108563375160816,0.3970158638234051
All 5 (FIXED),0.1414515145981894,0.10566006910027141,0.1786711664704825
All 5 (QCUT),0.2527042537914941,0.21721290143678113,0.28782229749705684
