institution,state,city,program_name,program_code,specialty_code,specialty,program_type_code,program_type,year,quota,filled,fill_rate
Baptist Health System,AL,,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2016,7,7,1.0
Baptist Health System,AL,,Medicine-Preliminary,1009140P0,140,Internal Medicine,P,Preliminary,2016,3,2,0.6666666666666666
Baptist Health System,AL,,Internal Medicine,1903140C0,140,Internal Medicine,C,Categorical,2016,9,9,1.0
Baptist Health System,AL,,Radiology-Diagnostic 1903420C0 3 2 Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2016,12,12,1.0
Baptist Health System,AL,,General Surgery 1903440C0 4 4 Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2016,8,8,1.0
Baptist Health System,AL,,Surgery-Preliminary,1903440P0,440,Surgery-General,P,Preliminary,2016,5,3,0.6
Baptist Health System,AL,,Transitional,1903999P0,999,Transitional,P,Preliminary,2016,16,15,0.9375
Cahaba Medical Care,AL,,Family Medicine,2955120C0,120,Family Medicine,C,Categorical,2016,16,16,1.0
Cahaba Medical Care,AL,,Family Medicine,1590120C0,120,Family Medicine,C,Categorical,2016,4,4,1.0
Montgomery Fam Med Res,AL,,Family Medicine,1852120C0,120,Family Medicine,C,Categorical,2016,6,3,0.5
Montgomery Fam Med Res,AL,,Montgomery Code Quota Matched Internal Medicine,1852140C0,140,Internal Medicine,C,Categorical,2016,14,8,0.5714285714285714
Montgomery Fam Med Res,AL,,Family Medicine 3082120C0 8 8 Medicine-Preliminary,1852140P0,140,Internal Medicine,P,Preliminary,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Selma Fam Med Res-AL Neurology,1852180C0,180,Neurology,C,Categorical,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Obstetrics-Gynecology,1852220C0,220,Obstetrics-Gynecology,C,Categorical,2016,4,4,1.0
Montgomery Fam Med Res,AL,,Orthopaedic Surgery,1852260C0,260,Orthopaedic Surgery,C,Categorical,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Family Medicine,3061120C0,120,Family Medicine,C,Categorical,2016,5,5,1.0
Montgomery Fam Med Res,AL,,Pathology,1852300C0,300,Pathology,C,Categorical,2016,3,3,1.0
Montgomery Fam Med Res,AL,,St Vincents East-AL Pediatrics,1852320C0,320,Pediatrics,C,Categorical,2016,12,12,1.0
Montgomery Fam Med Res,AL,,Birmingham Code Quota Matched Psychiatry,1852400C0,400,Psychiatry,C,Categorical,2016,4,4,1.0
Montgomery Fam Med Res,AL,,Family Medicine 3060120C0 5 5 Radiology-Diagnostic,1852420A0,420,Radiology-Diagnostic,A,Advanced,2016,4,3,0.75
Montgomery Fam Med Res,AL,,Radiology-Diagnostic,1852420R0,420,Radiology-Diagnostic,R,Physician (PGY-2 entry),2016,1,1,1.0
Montgomery Fam Med Res,AL,,General Surgery,1852440C0,440,Surgery-General,C,Categorical,2016,5,5,1.0
Montgomery Fam Med Res,AL,,Birmingham Code Quota Matched Surgery-Preliminary,1852440P0,440,Surgery-General,P,Preliminary,2016,2,1,0.5
Montgomery Fam Med Res,AL,,Anesthesiology 1007040A0 6 2 Medicine-Pediatrics,1852700C0,700,Other,C,Categorical,2016,2,0,0.0
Montgomery Fam Med Res,AL,,Anesthesiology,1007040C0,040,Anesthesiology,C,Categorical,2016,15,15,1.0
Montgomery Fam Med Res,AL,,Dermatology,1007080A0,080,Dermatology,A,Advanced,2016,4,4,1.0
Dermatology/Military 1007080R1 1 1 Providence Hospital,AK,,Internal Medicine,1007140C0,140,Internal Medicine,C,Categorical,2016,36,36,1.0
Dermatology/Military 1007080R1 1 1 Providence Hospital,AK,,Family Medicine,1313120C0,120,Family Medicine,C,Categorical,2016,7,7,1.0
Dermatology/Military 1007080R1 1 1 Providence Hospital,AK,,Int Med/ABIM Research Pathway,1007140C2,140,Internal Medicine,C,Categorical,2016,2,2,1.0
Dermatology/Military 1007080R1 1 1 Providence Hospital,AK,,Internal Medicine/SACM,1007140C3,140,Internal Medicine,C,Categorical,2016,1,1,1.0
Medicine-Preliminary 1007140P0 4 2 Abrazo Central Campus,AZ,,Neurological Surgery,1007160C0,160,Neurological Surgery,C,Categorical,2016,2,2,1.0
Medicine-Preliminary 1007140P0 4 2 Abrazo Central Campus,AZ,,Neurology,1007180C0,180,Neurology,C,Categorical,2016,7,7,1.0
Medicine-Preliminary 1007140P0 4 2 Abrazo Central Campus,AZ,,Family Medicine,2002120C0,120,Family Medicine,C,Categorical,2016,7,7,1.0
Medicine-Preliminary 1007140P0 4 2 Abrazo Central Campus,AZ,,Child Neurology,1007185C0,185,Child Neurology,C,Categorical,2016,1,1,1.0
Obstetrics-Gynecology 1007220C0 8 8 HonorHealth-Scottsdale Osborn Med Ctr,AZ,,Otolaryngology 1007280C0 4 4 Family Medicine,2967120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Obstetrics-Gynecology 1007220C0 8 8 HonorHealth-Scottsdale Osborn Med Ctr,AZ,,Pathology,1007300C0,300,Pathology,C,Categorical,2016,6,6,1.0
HonorHealth-Scottsdale Thompson Peak,AZ,,Pathology/IMG funded,1007300C1,300,Pathology,C,Categorical,2016,1,0,0.0
HonorHealth-Scottsdale Thompson Peak,AZ,,Phys Medicine & Rehab 1007340A0 4 3 Internal Medicine,1870140C0,140,Internal Medicine,C,Categorical,2016,6,6,1.0
HonorHealth-Scottsdale Thompson Peak,AZ,,Psychiatry,1007400C0,400,Psychiatry,C,Categorical,2016,8,8,1.0
Maricopa Med Ctr,AZ,,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2016,9,9,1.0
Maricopa Med Ctr,AZ,,Radiation-Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2016,2,2,1.0
Maricopa Med Ctr,AZ,,Emergency Medicine,1898110C0,110,Emergency Medicine,C,Categorical,2016,14,14,1.0
Maricopa Med Ctr,AZ,,Radiation Oncology,1007430R0,430,Radiation Oncology,R,Physician (PGY-2 entry),2016,1,1,1.0
Maricopa Med Ctr,AZ,,Internal Medicine,1898140C0,140,Internal Medicine,C,Categorical,2016,17,17,1.0
Maricopa Med Ctr,AZ,,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2016,11,11,1.0
Maricopa Med Ctr,AZ,,Medicine-Preliminary,1898140P0,140,Internal Medicine,P,Preliminary,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Surgery-Preliminary/SACM,1007440P0,440,Surgery-General,P,Preliminary,2016,3,3,1.0
Maricopa Med Ctr,AZ,,Ob-Gyn/Phoenix Integ,1898220C0,220,Obstetrics-Gynecology,C,Categorical,2016,8,8,1.0
Maricopa Med Ctr,AZ,,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Ob-Gyn/Preliminary,1898220P0,220,Obstetrics-Gynecology,P,Preliminary,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Psychiatry,1898400C0,400,Psychiatry,C,Categorical,2016,6,6,1.0
Maricopa Med Ctr,AZ,,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Radiology-Diagnostic,1898420A0,420,Radiology-Diagnostic,A,Advanced,2016,3,3,1.0
Maricopa Med Ctr,AZ,,General Surgery,1898440C0,440,Surgery-General,C,Categorical,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Pathology,1015300C0,300,Pathology,C,Categorical,2016,3,2,0.6666666666666666
Maricopa Med Ctr,AZ,,Pediatrics,1015320C0,320,Pediatrics,C,Categorical,2016,16,15,0.9375
Maricopa Med Ctr,AZ,,Surgery-Preliminary,1898440P2,440,Surgery-General,P,Preliminary,2016,9,1,0.1111111111111111
Maricopa Med Ctr,AZ,,Psychiatry,1015400C0,400,Psychiatry,C,Categorical,2016,6,6,1.0
Maricopa Med Ctr,AZ,,Mayo School of Grad Med Educ-AZ Radiology-Diagnostic,1015420A0,420,Radiology-Diagnostic,A,Advanced,2016,9,9,1.0
Maricopa Med Ctr,AZ,,Scottsdale Code Quota Matched Radiation Oncology,1015430A0,430,Radiation Oncology,A,Advanced,2016,2,2,1.0
Maricopa Med Ctr,AZ,,Anesthesiology 3200040C0 3 3 General Surgery,1015440C0,440,Surgery-General,C,Categorical,2016,8,8,1.0
Maricopa Med Ctr,AZ,,Dermatology 3200080C0 2 2 Surgery-Preliminary,1015440P0,440,Surgery-General,P,Preliminary,2016,8,0,0.0
Maricopa Med Ctr,AZ,,Internal Medicine 3200140C0 11 11 Surg-Prelim/Urology,1015440P1,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Maricopa Med Ctr,AZ,,Medicine-Primary 3200140M0 0 0 Vascular Surgery,1015451C0,451,Vascular Surgery,C,Categorical,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Neurology 3200180C0 3 3 Pediatrics-Emergency Med,1015725C0,725,Other,C,Categorical,2016,3,3,1.0
Maricopa Med Ctr,AZ,,Otolaryngology,3200280C0,280,Otolaryngology,C,Categorical,2016,2,2,1.0
Maricopa Med Ctr,AZ,,Plastic Surgery (Integrated),3200362C0,362,Plastic Surgery (Integrated),C,Categorical,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Family Medicine,1011120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Maricopa Med Ctr,AZ,,Radiology-Diagnostic,3200420A0,420,Radiology-Diagnostic,A,Advanced,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Internal Medicine,1011140C0,140,Internal Medicine,C,Categorical,2016,22,22,1.0
Maricopa Med Ctr,AZ,,Radiation Oncology,3200430C0,430,Radiation Oncology,C,Categorical,2016,1,1,1.0
Maricopa Med Ctr,AZ,,Medicine-Preliminary,1011140P0,140,Internal Medicine,P,Preliminary,2016,11,11,1.0
Maricopa Med Ctr,AZ,,General Surgery,3200440C0,440,Surgery-General,C,Categorical,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Obstetrics-Gynecology,1011220C0,220,Obstetrics-Gynecology,C,Categorical,2016,9,9,1.0
Maricopa Med Ctr,AZ,,Surgery-Preliminary,3200440P0,440,Surgery-General,P,Preliminary,2016,1,0,0.0
Maricopa Med Ctr,AZ,,Orthopaedic Surgery,1011260C0,260,Orthopaedic Surgery,C,Categorical,2016,4,4,1.0
Maricopa Med Ctr,AZ,,Surg-Prelim/Urology,3200440P1,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Maricopa Med Ctr,AZ,,Psychiatry,1011400C0,400,Psychiatry,C,Categorical,2016,5,5,1.0
Maricopa Med Ctr,AZ,,Phoenix Childrens Hospital-AZ General Surgery,1011440C0,440,Surgery-General,C,Categorical,2016,6,6,1.0
Maricopa Med Ctr,AZ,,Phoenix Code Quota Matched Surgery-Preliminary,1011440P1,440,Surgery-General,P,Preliminary,2016,6,6,1.0
Maricopa Med Ctr,AZ,,Child Neurology 2952185C0 2 2 Medicine-Pediatrics,1011700C0,700,Other,C,Categorical,2016,6,6,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Phoenix Code Quota Matched Family Medicine,1488120C1,120,Family Medicine,C,Categorical,2016,5,5,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Internal Medicine,1012140C0,140,Internal Medicine,C,Categorical,2016,9,9,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Medicine-Preliminary,1012140P0,140,Internal Medicine,P,Preliminary,2016,3,3,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Neurology 1012180C0 7 7 Internal Medicine,1871140C0,140,Internal Medicine,C,Categorical,2016,8,8,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Radiology-Diagnostic,1012420A0,420,Radiology-Diagnostic,A,Advanced,2016,4,4,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,General Surgery,1012440C0,440,Surgery-General,C,Categorical,2016,3,3,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Surgery-Preliminary,1012440P0,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Anesthesiology,1018040C0,040,Anesthesiology,C,Categorical,2016,14,14,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Tucson Hospitals Med Ed-AZ Dermatology,1018080C0,080,Dermatology,C,Categorical,2016,3,3,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Tucson Code Quota Matched Emergency Medicine,1018110C0,110,Emergency Medicine,C,Categorical,2016,10,10,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Transitional 1014999P0 12 12 Family Medicine,1018120C0,120,Family Medicine,C,Categorical,2016,6,6,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Internal Medicine,1018140C0,140,Internal Medicine,C,Categorical,2016,21,21,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Medicine-Preliminary,1018140P0,140,Internal Medicine,P,Preliminary,2016,2,2,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Neurological Surgery,1018160C0,160,Neurological Surgery,C,Categorical,2016,2,2,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Emergency Medicine 1371110C0 6 6 Neurology,1018180C0,180,Neurology,C,Categorical,2016,4,4,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Family Medicine 1371120C0 8 8 Child Neurology,1018185C0,185,Child Neurology,C,Categorical,2016,1,1,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Internal Medicine 1371140C0 10 10 Obstetrics-Gynecology,1018220C0,220,Obstetrics-Gynecology,C,Categorical,2016,5,5,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Psychiatry 1371400C0 6 6 Orthopaedic Surgery,1018260C0,260,Orthopaedic Surgery,C,Categorical,2016,4,4,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,U Arizona COM at Tucson Otolaryngology,1018280C0,280,Otolaryngology,C,Categorical,2016,3,3,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Pathology,1018300C0,300,Pathology,C,Categorical,2016,5,5,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Pediatrics,1018320C0,320,Pediatrics,C,Categorical,2016,25,25,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Anesthesiology,1015040A0,040,Anesthesiology,A,Advanced,2016,13,13,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Phys Medicine & Rehab,1018340C0,340,Phys Medicine & Rehab,C,Categorical,2016,4,2,0.5
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Anesthesiology,1015040R0,040,Anesthesiology,R,Physician (PGY-2 entry),2016,2,1,0.5
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Psychiatry,1018400C0,400,Psychiatry,C,Categorical,2016,7,7,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Dermatology,1015080A2,080,Dermatology,A,Advanced,2016,2,2,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Psych/NW AR Comm-Based Trk,1018400C1,400,Psychiatry,C,Categorical,2016,1,1,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Emergency Medicine,1015110C0,110,Emergency Medicine,C,Categorical,2016,15,15,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Radiology-Diagnostic,1018420C0,420,Radiology-Diagnostic,C,Categorical,2016,7,7,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Family Medicine,1015120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Rad-Diag/DIRECT Pathway,1018420C1,420,Radiology-Diagnostic,C,Categorical,2016,1,1,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Internal Medicine,1015140C0,140,Internal Medicine,C,Categorical,2016,28,28,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,General Surgery,1018440C0,440,Surgery-General,C,Categorical,2016,5,5,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Medicine-Preliminary,1015140P0,140,Internal Medicine,P,Preliminary,2016,8,8,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Surgery-Preliminary,1018440P0,440,Surgery-General,P,Preliminary,2016,5,2,0.4
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Neurological Surgery,1015160C0,160,Neurological Surgery,C,Categorical,2016,1,1,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Vascular Surgery,1018451C0,451,Vascular Surgery,C,Categorical,2016,1,1,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Neurology,1015180C0,180,Neurology,C,Categorical,2016,6,6,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Medicine-Pediatrics,1018700C0,700,Other,C,Categorical,2016,5,5,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Obstetrics-Gynecology,1015220C0,220,Obstetrics-Gynecology,C,Categorical,2016,4,4,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Orthopaedic Surgery,1015260C0,260,Orthopaedic Surgery,C,Categorical,2016,4,4,1.0
Pediatrics 2952320C0 32 32 Yuma Regional Med Ctr,AZ,,Otolaryngology,1015280C0,280,Otolaryngology,C,Categorical,2016,1,1,1.0
UAMS-Regional Programs-AR Childrens Hospital-Oakland,CA,,Family Medicine/Fayetteville 1582120C0 9 8 Pediatrics,1939320C0,320,Pediatrics,C,Categorical,2016,27,27,1.0
UAMS-Regional Programs-AR Childrens Hospital-Oakland,CA,,Family Medicine/Fort Smith 1582120C1 9 9 Peds-Prelim/Child Neurology,1939320P0,320,Pediatrics,P,Preliminary,2016,1,1,1.0
UAMS-Regional Programs-AR Childrens Hospital-Oakland,CA,,Family Medicine/Jonesboro 1582120C2 8 8 Peds-Prelim/Dermatology,1939320P1,320,Pediatrics,P,Preliminary,2016,0,0,
UAMS-Regional Programs-AR Childrens Hospital-Oakland,CA,,Family Medicine/Magnolia,1582120C3,120,Family Medicine,C,Categorical,2016,3,3,1.0
City Of Hope,CA,,Family Medicine/Pine Bluff,1582120C4,120,Family Medicine,C,Categorical,2016,9,8,0.8888888888888888
City Of Hope,CA,,Family Medicine/Texarkana,1582120C5,120,Family Medicine,C,Categorical,2016,8,8,1.0
City Of Hope,CA,,Radiation Oncology,1183430A0,430,Radiation Oncology,A,Advanced,2016,1,1,1.0
Alameda Health Sys-Highland Hosp,CA,,Oakland Code Quota Matched Family Medicine,1708120C0,120,Family Medicine,C,Categorical,2016,6,6,1.0
Alameda Health Sys-Highland Hosp,CA,,Emergency Medicine,1041110C0,110,Emergency Medicine,C,Categorical,2016,12,12,1.0
Contra Costa Reg Med Ctr,CA,,Internal Medicine,1041140C0,140,Internal Medicine,C,Categorical,2016,10,10,1.0
Contra Costa Reg Med Ctr,CA,,Medicine-Preliminary 1041140P0 13 13 Family Medicine,2071120C0,120,Family Medicine,C,Categorical,2016,13,13,1.0
Arrowhead Reg Med Ctr-CA Eisenhower Medical Center,CA,,Family Medicine 1047120C0 14 14 Family Medicine,1485120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Arrowhead Reg Med Ctr-CA Eisenhower Medical Center,CA,,Internal Medicine 1047140C0 6 6 Internal Medicine,1485140C0,140,Internal Medicine,C,Categorical,2016,10,10,1.0
Arrowhead Reg Med Ctr-CA Eisenhower Medical Center,CA,,General Surgery 1047440C0 4 4 Medicine-Preliminary,1485140P0,140,Internal Medicine,P,Preliminary,2016,6,6,1.0
CA Pacific Med Center Family Health Centers of San Diego,CA,,Internal Medicine 1061140C0 14 14 Family Medicine,1682120C0,120,Family Medicine,C,Categorical,2016,6,6,1.0
CA Pacific Med Center Family Health Centers of San Diego,CA,,Medicine-Preliminary,1061140P0,140,Internal Medicine,P,Preliminary,2016,14,14,1.0
Glendale Adventist Med Ctr,CA,,Psychiatry,1061400C0,400,Psychiatry,C,Categorical,2016,4,4,1.0
Glendale Adventist Med Ctr,CA,,Radiation Oncology,1061430A0,430,Radiation Oncology,A,Advanced,2016,1,1,1.0
Glendale Adventist Med Ctr,CA,,Family Medicine,1023120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Harbor-UCLA Med Ctr,CA,,Family Medicine,2092120C0,120,Family Medicine,C,Categorical,2016,8,8,1.0
Harbor-UCLA Med Ctr,CA,,Anesthesiology,1067040C0,040,Anesthesiology,C,Categorical,2016,5,2,0.4
Harbor-UCLA Med Ctr,CA,,Cedars-Sinai Medical Center-CA Dermatology,1067080A0,080,Dermatology,A,Advanced,2016,2,2,1.0
Harbor-UCLA Med Ctr,CA,,Los Angeles Code Quota Matched Emergency Medicine,1067110C0,110,Emergency Medicine,C,Categorical,2016,16,16,1.0
Harbor-UCLA Med Ctr,CA,,Anesthesiology 1030040A0 2 0 Family Medicine,1067120C0,120,Family Medicine,C,Categorical,2016,12,12,1.0
Harbor-UCLA Med Ctr,CA,,Anesthesiology 1030040C0 8 7 Internal Medicine,1067140C0,140,Internal Medicine,C,Categorical,2016,18,18,1.0
Harbor-UCLA Med Ctr,CA,,Anesthesiology 1030040R0 2 1 Medicine-Preliminary,1067140P0,140,Internal Medicine,P,Preliminary,2016,14,14,1.0
Harbor-UCLA Med Ctr,CA,,Internal Medicine 1030140C0 33 33 Neurology - Categorical,1067180C0,180,Neurology,C,Categorical,2016,4,2,0.5
Harbor-UCLA Med Ctr,CA,,Medicine-Preliminary 1030140P0 5 5 Obstetrics-Gynecology,1067220C0,220,Obstetrics-Gynecology,C,Categorical,2016,5,5,1.0
Harbor-UCLA Med Ctr,CA,,Med-Prelim/Neurology 1030140P1 4 4 Orthopaedic Surgery,1067260C0,260,Orthopaedic Surgery,C,Categorical,2016,5,5,1.0
Harbor-UCLA Med Ctr,CA,,Neurological Surgery 1030160C0 1 1 Pathology,1067300C0,300,Pathology,C,Categorical,2016,4,4,1.0
Harbor-UCLA Med Ctr,CA,,Neurology 1030180A0 4 4 Pediatrics,1067320C0,320,Pediatrics,C,Categorical,2016,9,9,1.0
Harbor-UCLA Med Ctr,CA,,Obstetrics-Gynecology 1030220C0 6 6 Peds-Prelim/Child Neurology,1067320P0,320,Pediatrics,P,Preliminary,2016,1,1,1.0
Harbor-UCLA Med Ctr,CA,,Orthopaedic Surgery 1030260C0 4 4 Psychiatry,1067400C0,400,Psychiatry,C,Categorical,2016,7,7,1.0
Harbor-UCLA Med Ctr,CA,,Pathology 1030300C0 5 5 Radiology-Diagnostic,1067420A0,420,Radiology-Diagnostic,A,Advanced,2016,6,6,1.0
Harbor-UCLA Med Ctr,CA,,Radiology-Diagnostic 1030420A0 3 3 General Surgery,1067440C0,440,Surgery-General,C,Categorical,2016,6,6,1.0
Harbor-UCLA Med Ctr,CA,,Radiation Oncology 1030430A0 1 1 Surgery-Preliminary,1067440P0,440,Surgery-General,P,Preliminary,2016,12,4,0.3333333333333333
Harbor-UCLA Med Ctr,CA,,General Surgery 1030440C0 4 4 Transitional,1067999P0,999,Transitional,P,Preliminary,2016,4,4,1.0
Harbor-UCLA Med Ctr,CA,,Surg-Prelim/Urology,1030440P1,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Huntington Memorial Hosp,CA,,Los Angeles Code Quota Matched Internal Medicine,1044140C0,140,Internal Medicine,C,Categorical,2016,7,7,1.0
Huntington Memorial Hosp,CA,,Child Neurology 1031185C0 2 2 Medicine-Preliminary,1044140P0,140,Internal Medicine,P,Preliminary,2016,5,5,1.0
Huntington Memorial Hosp,CA,,Child Neurology 1031185R0 1 0 General Surgery,1044440C0,440,Surgery-General,C,Categorical,2016,3,3,1.0
Huntington Memorial Hosp,CA,,Pediatrics 1031320C0 29 29 Surgery-Preliminary,1044440P0,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Huntington Memorial Hosp,CA,,Pediatrics-Preliminary,1031320P1,320,Pediatrics,P,Preliminary,2016,1,1,1.0
Huntington Memorial Hosp,CA,,Medicine-Primary/CHOICE,2135140M0,140,Internal Medicine,M,Primary care,2016,1,1,1.0
Kaiser Permanente-Fontana,CA,,Medicine-Preliminary,2135140P0,140,Internal Medicine,P,Preliminary,2016,4,4,1.0
Kaiser Permanente-Fontana,CA,,Obstetrics-Gynecology,2135220C0,220,Obstetrics-Gynecology,C,Categorical,2016,4,4,1.0
Kaiser Permanente-Fontana,CA,,Family Medicine,2037120C0,120,Family Medicine,C,Categorical,2016,9,9,1.0
Internal Medicine 2037140C0 6 6 Kaiser Permanente-Woodland Hills,CA,,Family Medicine,1001120C0,120,Family Medicine,C,Categorical,2016,6,6,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Family Med/LA Med Ctr 2055120C0 9 9 Emergency Medicine,1572110C0,110,Emergency Medicine,C,Categorical,2016,10,10,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Internal Medicine 2055140C0 11 11 Family Medicine,1572120C0,120,Family Medicine,C,Categorical,2016,6,6,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Internal Medicine/MPH 2055140C1 1 1 Psychiatry,1572400C0,400,Psychiatry,C,Categorical,2016,4,4,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Medicine-Preliminary 2055140P0 8 8 General Surgery,1572440C0,440,Surgery-General,C,Categorical,2016,2,2,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Neurology 2055180C0 3 3 Surgery-Preliminary,1572440P0,440,Surgery-General,P,Preliminary,2016,1,1,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Obstetrics-Gynecology 2055220C0 5 5 Transitional,1572999P0,999,Transitional,P,Preliminary,2016,12,12,1.0
Pasadena Code Quota Matched Kaweah Delta Health Care District,CA,,Pediatrics,2055320C0,320,Pediatrics,C,Categorical,2016,8,5,0.625
Kern Medical Center,CA,,Radiology-Diagnostic,2055420C0,420,Radiology-Diagnostic,C,Categorical,2016,3,3,1.0
Kern Medical Center,CA,,Radiation-Oncology,2055430A0,430,Radiation Oncology,A,Advanced,2016,2,2,1.0
Kern Medical Center,CA,,Emergency Medicine,1921110C0,110,Emergency Medicine,C,Categorical,2016,6,6,1.0
Kern Medical Center,CA,,General Surgery,2055440C0,440,Surgery-General,C,Categorical,2016,4,4,1.0
Kern Medical Center,CA,,Internal Medicine,1921140C0,140,Internal Medicine,C,Categorical,2016,8,8,1.0
Kern Medical Center,CA,,Surgery-Preliminary,2055440P0,440,Surgery-General,P,Preliminary,2016,5,5,1.0
Kern Medical Center,CA,,Obstetrics-Gynecology,1921220C0,220,Obstetrics-Gynecology,C,Categorical,2016,3,3,1.0
Kern Medical Center,CA,,Surg-Prelim/Urology,2055440P1,440,Surgery-General,P,Preliminary,2016,2,2,1.0
Kern Medical Center,CA,,Psychiatry,1921400C0,400,Psychiatry,C,Categorical,2016,5,5,1.0
Kern Medical Center,CA,,Kaiser Permanente-Napa/Solano-CA General Surgery,1921440C0,440,Surgery-General,C,Categorical,2016,2,2,1.0
